hash_rate 0.0_avg 0.0_stddev expected_honest
0.0 0.0 0.0 0.0
0.01 0.000994721311325 0.000101450197134 0.001
0.02 0.00200016993102 0.000153110616533 0.002
0.03 0.00298980515124 0.000178392565955 0.003
0.04 0.00398670808663 0.000238196669655 0.004
0.05 0.00498800731858 0.000244733318719 0.005
0.06 0.00596059806108 0.000263467604324 0.006
0.07 0.0069356196218 0.000255844217757 0.007
0.08 0.00795863428769 0.000283335463153 0.008
0.09 0.00902228036758 0.000372800131715 0.009
0.1 0.00995182267499 0.000314830924052 0.01
0.11 0.0109779011704 0.000359662078748 0.011
0.12 0.0119908654314 0.00036232303774 0.012
0.13 0.0129359420467 0.000416964271318 0.013
0.14 0.0139625156508 0.000353165014496 0.014
0.15 0.0149832629151 0.000411908914131 0.015
0.16 0.0159539175714 0.000426746432427 0.016
0.17 0.0169845708652 0.00040326526703 0.017
0.18 0.0179771217661 0.000371439055565 0.018
0.19 0.0189642447629 0.000428627180706 0.019
0.2 0.0199450973455 0.000427112192984 0.02
0.21 0.0209016425825 0.000393315794621 0.021
0.22 0.0220202326888 0.000460938167254 0.022
0.23 0.0228895918136 0.000453898620301 0.023
0.24 0.0239684170635 0.000482891532248 0.024
0.25 0.0249626443348 0.00041459598814 0.025
0.26 0.025947774998 0.000434299712354 0.026
0.27 0.0269871893034 0.000505305754809 0.027
0.28 0.0278834558723 0.000508384329433 0.028
0.29 0.0290066069394 0.00047061186464 0.029
0.3 0.0299884489299 0.000534741156348 0.03
0.31 0.0309191953994 0.000555866853741 0.031
0.32 0.0319718321477 0.000505368657928 0.032
0.33 0.0329156345072 0.000486784348702 0.033
0.34 0.0339276832209 0.00044508576738 0.034
0.35 0.0349626142912 0.000555257620397 0.035
0.36 0.0359850489462 0.000574685699537 0.036
0.37 0.0370456509627 0.000500986610364 0.037
0.38 0.0379998820326 0.000515849434665 0.038
0.39 0.0390481506729 0.000570596136374 0.039
0.4 0.0399514799729 0.000579012313193 0.04
0.41 0.0411420738586 0.00055831783073 0.041
0.42 0.041992609574 0.000539006062628 0.042
0.43 0.0430084326934 0.000595301882367 0.043
0.44 0.0440714804786 0.00057494892354 0.044
0.45 0.0450283195955 0.000515754722054 0.045
0.46 0.0460075411449 0.000508402775887 0.046
0.47 0.0470526320501 0.000516037373763 0.047
0.48 0.048026660358 0.000524231975425 0.048
0.49 0.049185299994 0.000580854984077 0.049
0.5 0.0500589389593 0.000551800387755 0.05
