block_number 0.1_avg 0.1_stddev 0.33_avg 0.33_stddev 0.49_avg 0.49_stddev
0 3.03850732602e+21 2.85690675749e+20 3.00077211082e+21 2.34932453548e+20 3.0280159699e+21 3.19049059286e+20 
1 3.03575799873e+21 2.81500051942e+20 3.00318303969e+21 2.40513380316e+20 3.02223257764e+21 3.1907698606e+20 
2 3.04165074502e+21 2.78638233398e+20 3.00893837714e+21 2.40976399762e+20 3.03231239794e+21 3.24491668956e+20 
3 3.04233745099e+21 2.73786504445e+20 3.01506605912e+21 2.42277552933e+20 3.04146661775e+21 3.22372734751e+20 
4 3.04223283242e+21 2.70196389531e+20 3.02316550691e+21 2.44767764149e+20 3.0485169078e+21 3.24936142087e+20 
5 3.04259239682e+21 2.65176859729e+20 3.02938840455e+21 2.49916759309e+20 3.05684657316e+21 3.24442162192e+20 
6 3.04255260849e+21 2.64882334003e+20 3.03358277802e+21 2.51105005881e+20 3.06487528225e+21 3.25595171467e+20 
7 3.04581452775e+21 2.6887622878e+20 3.04010854135e+21 2.51774698335e+20 3.07552478669e+21 3.2917109653e+20 
8 3.05023641237e+21 2.68024285136e+20 3.0455058219e+21 2.5349224975e+20 3.08945527929e+21 3.35470024374e+20 
9 3.0544494726e+21 2.6938835756e+20 3.05236461108e+21 2.60933246548e+20 3.1012385289e+21 3.3619952774e+20 
10 3.05767357656e+21 2.64653113414e+20 3.06004529608e+21 2.63835768062e+20 3.11730717721e+21 3.34059962217e+20 
11 3.06321119032e+21 2.65445797382e+20 3.06776882714e+21 2.72543328283e+20 3.12545873359e+21 3.33660529987e+20 
12 3.06142231727e+21 2.59098241768e+20 3.0747751902e+21 2.68425932279e+20 3.13725163498e+21 3.39653877557e+20 
13 3.06286944982e+21 2.60905567681e+20 3.08435407471e+21 2.68640262748e+20 3.14829905524e+21 3.40716603573e+20 
14 3.06742984462e+21 2.5878435285e+20 3.09197422225e+21 2.68381462571e+20 3.16263251747e+21 3.44242893079e+20 
15 3.06951922903e+21 2.57453867087e+20 3.09770986678e+21 2.65645797293e+20 3.17588591143e+21 3.48082210764e+20 
16 3.07381315229e+21 2.60360832521e+20 3.10854577551e+21 2.7201769372e+20 3.18564064582e+21 3.54278732199e+20 
17 3.07877096521e+21 2.59217329699e+20 3.11419757331e+21 2.72929620973e+20 3.19527958515e+21 3.52601558982e+20 
18 3.08181001281e+21 2.63023084591e+20 3.12532082882e+21 2.7802153868e+20 3.20910456495e+21 3.50521020838e+20 
19 3.08285751039e+21 2.5919757496e+20 3.1336408195e+21 2.79066047231e+20 3.21851757156e+21 3.48715433859e+20 
20 3.08832565589e+21 2.60033470433e+20 3.1391132465e+21 2.83496761013e+20 3.23001044311e+21 3.48029487985e+20 
21 3.08992775289e+21 2.6175584457e+20 3.14239807096e+21 2.88551344743e+20 3.24478361842e+21 3.51466692006e+20 
22 3.09407166551e+21 2.59508952505e+20 3.15619987178e+21 2.88230150429e+20 3.25925265199e+21 3.57031974964e+20 
23 3.09427487374e+21 2.61111496368e+20 3.16506610476e+21 2.95456197674e+20 3.27072071112e+21 3.5537477677e+20 
24 3.09793463373e+21 2.56545353522e+20 3.17310603143e+21 2.95459916316e+20 3.28405289851e+21 3.56637365585e+20 
25 3.09991543838e+21 2.55112172429e+20 3.17970364643e+21 2.95632230985e+20 3.29943181226e+21 3.5348074149e+20 
26 3.10606387253e+21 2.5548514666e+20 3.18882983191e+21 2.95387398518e+20 3.31209876807e+21 3.57577072521e+20 
27 3.10517788798e+21 2.61900925907e+20 3.19789681125e+21 2.99977111234e+20 3.32122415306e+21 3.58816571538e+20 
28 3.11111792444e+21 2.60525067009e+20 3.19800140776e+21 2.99450075606e+20 3.33495142569e+21 3.59919115854e+20 
