block_number 0.1_avg 0.1_stddev 0.33_avg 0.33_stddev 0.49_avg 0.49_stddev 0.1_expected 0.33_expected 0.49_expected
0 0.0960459833168 0.748792611897 0.213093123692 0.764020709081 0.272486306915 0.53732399839 0.01 0.033 0.049
1 0.0198638571644 0.066025174574 0.115500728295 0.198403415726 0.159229555164 0.241005255358 0.01 0.033 0.049
2 0.0150548196252 0.0405785012636 0.076030192759 0.0926443751401 0.124702776244 0.14069332488 0.01 0.033 0.049
3 0.0117726670316 0.0235564210952 0.0716393096804 0.073256641092 0.11668658199 0.1157846327 0.01 0.033 0.049
4 0.0113097811835 0.0222710000886 0.0644382162724 0.0480714845916 0.109598047465 0.0701198389234 0.01 0.033 0.049
5 0.0108568248241 0.019267453191 0.0647731131131 0.0448402971664 0.107039442516 0.0640914144669 0.01 0.033 0.049
6 0.0108504468615 0.0180117455685 0.0636709097871 0.0448209545417 0.104722971793 0.0559408190101 0.01 0.033 0.049
7 0.0106278997198 0.0163830923896 0.0638833581041 0.0430680448137 0.104157051045 0.0552843542142 0.01 0.033 0.049
8 0.0111301775025 0.0162715136945 0.0619756585643 0.0404028039846 0.104260486917 0.0533837370041 0.01 0.033 0.049
9 0.0109868150782 0.014065246485 0.0597593762579 0.0344126480936 0.10128830425 0.0500835594459 0.01 0.033 0.049
10 0.0107017664814 0.0122401569952 0.0559671725076 0.029069986123 0.0993917446282 0.0450406277603 0.01 0.033 0.049
11 0.0107960245248 0.0113819928202 0.0553718138195 0.027878974588 0.0975722862119 0.0407068538999 0.01 0.033 0.049
12 0.0108423221073 0.0101577623247 0.0545972128007 0.0271001123408 0.0970660049181 0.0372057757151 0.01 0.033 0.049
13 0.0107544894179 0.00939960986567 0.0543683555127 0.0258715930854 0.0968312871275 0.034311430241 0.01 0.033 0.049
14 0.0106709164593 0.00864218665617 0.0538730428067 0.0252467875712 0.0972805880543 0.0339353981536 0.01 0.033 0.049
15 0.010691200377 0.00886490806053 0.0534557712486 0.0254565484249 0.0967930496346 0.0332285101589 0.01 0.033 0.049
16 0.0110638634778 0.00860033554925 0.0524739257279 0.0235251147347 0.0962344219674 0.0330753210676 0.01 0.033 0.049
17 0.0107552491771 0.00836737283807 0.0520203999226 0.0220502246064 0.0958933322819 0.0335392255531 0.01 0.033 0.049
18 0.0104286284952 0.00828857872153 0.0513945348792 0.0206940833454 0.0952755787685 0.0318154918036 0.01 0.033 0.049
19 0.0108556128845 0.00824425077617 0.0507442151995 0.0197238753462 0.0955209525958 0.0314811810881 0.01 0.033 0.049
20 0.0108067103591 0.00808146978317 0.0508318744651 0.0194961918384 0.095812112542 0.0313197134267 0.01 0.033 0.049
