hash_rate 0.0_avg 0.0_stddev expected_honest
0.0 0.0 0.0 0.0
0.01 3.8680287472e-05 2.87507155425e-05 0.001
0.02 0.000171015693249 6.11346182877e-05 0.002
0.03 0.00034862170997 0.000102201638084 0.003
0.04 0.000610515961485 0.000127621584116 0.004
0.05 0.00096441660502 0.000151835042955 0.005
0.06 0.00133597880215 0.000199879981685 0.006
0.07 0.00183183042166 0.000207945201057 0.007
0.08 0.00231717658911 0.000264039159833 0.008
0.09 0.00289671405249 0.000283760226455 0.009
0.1 0.00355321221129 0.00027740334833 0.01
0.11 0.0042062830115 0.000329150350806 0.011
0.12 0.00507427157005 0.000371328811396 0.012
0.13 0.00577473103331 0.000375245245223 0.013
0.14 0.00672049542782 0.000414080449152 0.014
0.15 0.0075024797035 0.000428279067702 0.015
0.16 0.00853388049248 0.000396061897792 0.016
0.17 0.00969341467619 0.000483519514908 0.017
0.18 0.0105725361413 0.000479935534433 0.018
0.19 0.0117300786957 0.000548581646568 0.019
0.2 0.0129795027173 0.000610505344432 0.02
0.21 0.0141243557173 0.000544495889301 0.021
0.22 0.0153645562771 0.000676030506936 0.022
0.23 0.0166034406825 0.000578738257297 0.023
0.24 0.0179677321861 0.000677536687052 0.024
0.25 0.0194072702835 0.000698642295778 0.025
0.26 0.0208578876411 0.000714102965868 0.026
0.27 0.0222299101258 0.000714777901709 0.027
0.28 0.0239231752247 0.000770973871312 0.028
0.29 0.0255679094029 0.000705601891338 0.029
0.3 0.0272633714967 0.00082792956259 0.03
0.31 0.0289830435616 0.00074759409352 0.031
0.32 0.0307261107119 0.000932867484814 0.032
0.33 0.0326214638995 0.000881887890524 0.033
0.34 0.0346447362919 0.000981347190603 0.034
0.35 0.0364514350725 0.000948848070257 0.035
0.36 0.0385554275308 0.00102416442148 0.036
0.37 0.0408951329669 0.000918526536898 0.037
0.38 0.0430499366113 0.00112691022233 0.038
0.39 0.0453922896258 0.00116425651079 0.039
0.4 0.0480329422567 0.00142386704072 0.04
0.41 0.0509291493363 0.00137670683833 0.041
0.42 0.0538090491085 0.00136244398185 0.042
0.43 0.0571203551101 0.001494265641 0.043
0.44 0.0600509119438 0.00159138009716 0.044
0.45 0.0639920195604 0.00168863297571 0.045
0.46 0.0689430267355 0.00208640971116 0.046
0.47 0.0731515981542 0.0019930928797 0.047
0.48 0.0783039290792 0.00233952138891 0.048
0.49 0.0844246320639 0.00243797242406 0.049
0.5 0.0901016982361 0.00218274857995 0.05
