hash_rate 0.0_avg 0.0_stddev expected_honest
0.0 0.0 0.0 0.0
0.01 0.000438988095238 0.000302955221283 0.01
0.02 0.00153273809524 0.000645680162511 0.02
0.03 0.00351314484127 0.000868950608566 0.03
0.04 0.0060404265873 0.00110989458608 0.04
0.05 0.0097308886318 0.00154391631232 0.05
0.06 0.0133692956349 0.00175467461679 0.06
0.07 0.0181274068211 0.00219123224729 0.07
0.08 0.0230791170635 0.00249603641604 0.08
0.09 0.0292881603096 0.00254514142045 0.09
0.1 0.035499698783 0.00314590774352 0.1
0.11 0.0428583829365 0.00329090499303 0.11
0.12 0.0502355524988 0.00313680791976 0.12
0.13 0.058373015873 0.00389989010481 0.13
0.14 0.0674709548159 0.00382108656917 0.14
0.15 0.0757101014505 0.00431860583597 0.15
0.16 0.0856590747636 0.00446788974726 0.16
0.17 0.0958230542824 0.00464600320979 0.17
0.18 0.106404454571 0.00464020022533 0.18
0.19 0.118541389283 0.00573846012489 0.19
0.2 0.129528901768 0.00564521013198 0.2
0.21 0.14083301048 0.00568444307704 0.21
0.22 0.153854160964 0.00605325070628 0.22
0.23 0.167060192104 0.00661367521464 0.23
0.24 0.180316949732 0.00608632751834 0.24
0.25 0.195600536702 0.00696107196863 0.25
0.26 0.210015168212 0.00737264952745 0.26
0.27 0.225140097492 0.00727357491405 0.27
0.28 0.239818205609 0.00762031923432 0.28
0.29 0.256125783292 0.00773406968694 0.29
0.3 0.27262239089 0.00797210377287 0.3
0.31 0.290166512861 0.0080298045765 0.31
0.32 0.306349603978 0.00928430008758 0.32
0.33 0.326691830179 0.00885976011913 0.33
0.34 0.344513298125 0.0100423941816 0.34
0.35 0.363515968269 0.010699390086 0.35
0.36 0.385887976974 0.0112975321305 0.36
0.37 0.409444294007 0.0111052591277 0.37
0.38 0.428994125144 0.0107467782153 0.38
0.39 0.452418967841 0.0113229584792 0.39
0.4 0.478315575033 0.0123375159822 0.4
0.41 0.502154895658 0.0123931642638 0.41
0.42 0.533245703125 0.0136780397939 0.42
0.43 0.560585075137 0.0133221249236 0.43
0.44 0.593337637083 0.0172452901372 0.44
0.45 0.627126283601 0.0158390912811 0.45
0.46 0.660054744481 0.0156461075648 0.46
0.47 0.705058052818 0.016292970438 0.47
0.48 0.740914095259 0.0185874442401 0.48
0.49 0.780734582924 0.0191482404055 0.49
0.5 0.819242728099 0.0171652231794 0.5
