hash_rate 1.0_avg 1.0_stddev expected_honest
0.0 0.0 0.0 0.0
0.01 0.0100979662698 0.00119063829398 0.01
0.02 0.0203162202381 0.00160953081935 0.02
0.03 0.0310590277778 0.00197499292628 0.03
0.04 0.0411916633762 0.00225541435673 0.04
0.05 0.052357390873 0.00239866708739 0.05
0.06 0.0636098710317 0.00297352181735 0.06
0.07 0.0749801587302 0.00331379835636 0.07
0.08 0.0859375 0.00353498756071 0.08
0.09 0.0974562328096 0.00328783710701 0.09
0.1 0.109360119048 0.00412546952137 0.1
0.11 0.121622955176 0.00377937874057 0.11
0.12 0.133272389852 0.00451323455704 0.12
0.13 0.145361562706 0.00445242519677 0.13
0.14 0.15665844923 0.00433148862026 0.14
0.15 0.170855654762 0.00522906576073 0.15
0.16 0.182886679041 0.00509883039538 0.16
0.17 0.196922137316 0.00500000730938 0.17
0.18 0.208768292349 0.00447546786445 0.18
0.19 0.222568352043 0.00490558810581 0.19
0.2 0.235265525034 0.00540803115812 0.2
0.21 0.248546973862 0.00604519650134 0.21
0.22 0.262937300426 0.00596252520646 0.22
0.23 0.276177823467 0.00644683694593 0.23
0.24 0.290227447583 0.00564896942826 0.24
0.25 0.30432854019 0.0063503261178 0.25
0.26 0.318993563625 0.00765210661118 0.26
0.27 0.334590161544 0.00711042201665 0.27
0.28 0.349511793796 0.00706355865551 0.28
0.29 0.364582785202 0.00690737535016 0.29
0.3 0.380076965357 0.00735774933434 0.3
0.31 0.397411194292 0.00693905233405 0.31
0.32 0.41368971462 0.00747429269167 0.32
0.33 0.430833558926 0.00707021041684 0.33
0.34 0.44834374922 0.00849376150112 0.34
0.35 0.465204338442 0.00942615213408 0.35
0.36 0.483484323076 0.00924221405944 0.36
0.37 0.504337590327 0.0103523898482 0.37
0.38 0.524307216796 0.00770340990445 0.38
0.39 0.545363842891 0.0107772794842 0.39
0.4 0.570477484509 0.0117169092313 0.4
0.41 0.591887010869 0.0119078383773 0.41
0.42 0.616774685997 0.0122918087324 0.42
0.43 0.645761596243 0.0154822801174 0.43
0.44 0.676778995329 0.0141239152363 0.44
0.45 0.714567199611 0.0167408070676 0.45
0.46 0.752817145865 0.0184646162257 0.46
0.47 0.797584556646 0.0230028372284 0.47
0.48 0.852434866386 0.0249491303174 0.48
0.49 0.911863153395 0.0288836996325 0.49
0.5 0.973208768455 0.0184513847261 0.5
