block_number 0.1_avg 0.1_stddev 0.33_avg 0.33_stddev 0.49_avg 0.49_stddev
0 2.98393604923e+21 2.59206425602e+20 3.03571654941e+21 2.87451681924e+20 3.05364553472e+21 2.69889279206e+20 
1 2.98431325236e+21 2.60512696482e+20 3.03476552326e+21 2.83581712262e+20 3.05240908292e+21 2.70254956576e+20 
2 2.98388047184e+21 2.63065933386e+20 3.03592100999e+21 2.80993626851e+20 3.05381600852e+21 2.70578562775e+20 
3 2.98029997651e+21 2.61894053745e+20 3.02860885973e+21 2.88766216285e+20 3.04291328074e+21 2.71180332939e+20 
4 2.9783205543e+21 2.67101882049e+20 3.02499956181e+21 2.89639688838e+20 3.03898451214e+21 2.71450610406e+20 
5 2.9749924543e+21 2.64103191681e+20 3.01815794535e+21 2.87207585035e+20 3.03519894724e+21 2.70007989541e+20 
6 2.97408655705e+21 2.69862351876e+20 3.01362924996e+21 2.88980075764e+20 3.03013227898e+21 2.69006747138e+20 
7 2.97305030456e+21 2.67354825979e+20 3.00874946907e+21 2.8653433953e+20 3.03305964059e+21 2.76001514139e+20 
8 2.96806371142e+21 2.64400680347e+20 3.00201829811e+21 2.83300275878e+20 3.0156001765e+21 2.65563296375e+20 
9 2.9685732595e+21 2.67331032226e+20 3.00102546341e+21 2.81179944838e+20 3.00689258969e+21 2.66743118188e+20 
10 2.96457356364e+21 2.6990242947e+20 2.99622029768e+21 2.79573225122e+20 3.00551395685e+21 2.63821280593e+20 
11 2.96399816205e+21 2.66750455427e+20 2.99151562567e+21 2.74986950276e+20 2.99244069248e+21 2.56867259343e+20 
12 2.96059799024e+21 2.65009737318e+20 2.98715985301e+21 2.75443584228e+20 2.99206311498e+21 2.62622672419e+20 
13 2.95892026655e+21 2.63928761978e+20 2.98373137782e+21 2.76570660783e+20 2.98207249856e+21 2.55340185452e+20 
14 2.95420450183e+21 2.58198823242e+20 2.97601437496e+21 2.72771288681e+20 2.97110455554e+21 2.59198559443e+20 
15 2.95175415412e+21 2.56609740271e+20 2.97197211429e+21 2.67895688397e+20 2.96873578883e+21 2.54779376231e+20 
16 2.94889189402e+21 2.51979769609e+20 2.95997115614e+21 2.67096081638e+20 2.95218590106e+21 2.52144628381e+20 
17 2.94783768789e+21 2.5519835597e+20 2.95476338329e+21 2.66442362329e+20 2.95123252672e+21 2.531993597e+20 
18 2.94363363309e+21 2.58110051837e+20 2.94672909819e+21 2.71155068087e+20 2.94735638735e+21 2.5273790884e+20 
19 2.94483647114e+21 2.59011421332e+20 2.94103586655e+21 2.69072369137e+20 2.93747487326e+21 2.58476581826e+20 
20 2.93889977208e+21 2.56990799206e+20 2.93451047599e+21 2.64972385983e+20 2.93255789544e+21 2.54460509885e+20 
21 2.93417365552e+21 2.5531547556e+20 2.93040948667e+21 2.61911510129e+20 2.92708871181e+21 2.46219960458e+20 
22 2.93882780505e+21 2.57269939635e+20 2.92044383024e+21 2.51206189576e+20 2.91955064309e+21 2.531974193e+20 
23 2.93462115341e+21 2.59243675649e+20 2.91402711561e+21 2.49402506364e+20 2.91462894867e+21 2.48604122994e+20 
24 2.93571089165e+21 2.58658768711e+20 2.91789045196e+21 2.56326037259e+20 2.90568344094e+21 2.47772654788e+20 
25 2.9309151598e+21 2.56242197237e+20 2.91044243243e+21 2.4877947606e+20 2.89646354881e+21 2.48847931283e+20 
26 2.92597034249e+21 2.55632182499e+20 2.90563689507e+21 2.5118574498e+20 2.88716467635e+21 2.44654314421e+20 
27 2.92965305898e+21 2.54453645557e+20 2.9047906305e+21 2.47662882029e+20 2.88499339854e+21 2.46229232227e+20 
