block_number 0.1_avg 0.1_stddev 0.33_avg 0.33_stddev 0.49_avg 0.49_stddev
0 3.0031116387e+21 2.44732502569e+20 3.01807834505e+21 2.4055449286e+20 2.9874408094e+21 2.77875533611e+20 
1 2.99612942216e+21 2.43000092252e+20 3.01366655553e+21 2.42072282791e+20 2.98650090161e+21 2.76910315671e+20 
2 2.99534496138e+21 2.41992247858e+20 3.0189850725e+21 2.48250078111e+20 2.99178825781e+21 2.73997458793e+20 
3 2.99969793786e+21 2.43675990922e+20 3.02419527766e+21 2.50837807065e+20 3.004399936e+21 2.79085969859e+20 
4 3.00225908506e+21 2.45597417137e+20 3.02729163873e+21 2.47904091197e+20 3.01557416366e+21 2.81966669039e+20 
5 3.0000421025e+21 2.44496785492e+20 3.02947310375e+21 2.46668235188e+20 3.01952924587e+21 2.81570855624e+20 
6 3.00300426238e+21 2.45784970511e+20 3.03389650815e+21 2.48775972803e+20 3.02168399639e+21 2.8279744518e+20 
7 3.00265644158e+21 2.41110726589e+20 3.03976393583e+21 2.49536747572e+20 3.02986621505e+21 2.87388473654e+20 
8 2.99949169311e+21 2.4497014396e+20 3.03717689647e+21 2.52391411748e+20 3.03487433411e+21 2.81061762539e+20 
9 2.99966459718e+21 2.52532008791e+20 3.03870161686e+21 2.50764167131e+20 3.03513795365e+21 2.82241909339e+20 
10 2.9987164493e+21 2.57864878188e+20 3.03857500243e+21 2.51172603444e+20 3.04447007455e+21 2.81760288003e+20 
11 2.99841348577e+21 2.58342431089e+20 3.04101474958e+21 2.49621975836e+20 3.04947842415e+21 2.80621746033e+20 
12 2.99507329279e+21 2.59535942832e+20 3.04375193464e+21 2.48326357753e+20 3.05830547301e+21 2.84264778003e+20 
13 2.99334911818e+21 2.63081938824e+20 3.04460755485e+21 2.54184789685e+20 3.05935035365e+21 2.81616236778e+20 
14 2.99557349437e+21 2.67789260394e+20 3.04275787199e+21 2.55519812246e+20 3.06579363001e+21 2.78910772364e+20 
15 2.99476750043e+21 2.65506791661e+20 3.04076223223e+21 2.515378543e+20 3.07041096874e+21 2.79455931012e+20 
16 2.99636039478e+21 2.68830966284e+20 3.03970932514e+21 2.49137307154e+20 3.0757110161e+21 2.78769768034e+20 
17 2.9957098139e+21 2.65957379102e+20 3.04272335614e+21 2.5136978091e+20 3.0777533336e+21 2.78570259178e+20 
18 2.99444505939e+21 2.62276538423e+20 3.04831093287e+21 2.53897483578e+20 3.08682034499e+21 2.82319627474e+20 
19 2.99413928457e+21 2.6498286559e+20 3.0482887712e+21 2.60335373609e+20 3.08722722162e+21 2.826925087e+20 
20 2.99231468016e+21 2.67957690801e+20 3.04747276295e+21 2.56708766792e+20 3.09042792203e+21 2.80543918879e+20 
21 2.99128800536e+21 2.67384682507e+20 3.05199205477e+21 2.53411866464e+20 3.09129148703e+21 2.78966045462e+20 
22 2.99209881103e+21 2.69809301272e+20 3.04934945035e+21 2.56556651316e+20 3.10480105995e+21 2.79594194486e+20 
23 2.99572012362e+21 2.73658750606e+20 3.04713426905e+21 2.60640168345e+20 3.10391348164e+21 2.86210773434e+20 
24 2.99559126803e+21 2.73414135881e+20 3.0470553745e+21 2.57678958318e+20 3.10901602687e+21 2.84492206444e+20 
25 2.99386639845e+21 2.64410047971e+20 3.05299655588e+21 2.63020388218e+20 3.10822387951e+21 2.84204534607e+20 
26 2.99171261892e+21 2.60129341218e+20 3.05274129764e+21 2.60722575916e+20 3.10634625796e+21 2.88283269647e+20 
27 2.99387231813e+21 2.58646578114e+20 3.05711467864e+21 2.60172128518e+20 3.10972166338e+21 2.88678011207e+20 
28 2.99390947069e+21 2.62264774958e+20 3.05955570357e+21 2.59189487291e+20 3.1160788824e+21 2.86815085011e+20 
29 2.99339900136e+21 2.56414084399e+20 3.06519529016e+21 2.64931808455e+20 3.11385643653e+21 2.8855553137e+20 
30 2.99749439373e+21 2.5254829995e+20 3.06847353045e+21 2.61807262475e+20 3.11933410749e+21 2.90904029738e+20 
31 3.00034000446e+21 2.56020713418e+20 3.07087046497e+21 2.58561745553e+20 3.12510703074e+21 3.01022724525e+20 
32 3.00570707292e+21 2.63664049913e+20 3.07368099307e+21 2.61257105535e+20 3.12631245631e+21 2.90639999765e+20 
33 3.00491829841e+21 2.6063149892e+20 3.08026974896e+21 2.5986625644e+20 3.12659610926e+21 2.9097484893e+20 
34 3.00549305076e+21 2.59325753836e+20 3.08868844753e+21 2.60927813059e+20 3.1260622804e+21 2.84731299995e+20 
35 3.00870240516e+21 2.60251691079e+20 3.09439621359e+21 2.63617090893e+20 3.13500416319e+21 2.91062783682e+20 
36 3.012461675e+21 2.59334335169e+20 3.09869867893e+21 2.6232812776e+20 3.14329017039e+21 2.83456758032e+20 
37 3.0158169667e+21 2.61710588329e+20 3.10367035638e+21 2.63578985368e+20 3.13929388062e+21 2.85261680708e+20 
38 3.01925990299e+21 2.61594645864e+20 3.10961028197e+21 2.67752105799e+20 3.14221537588e+21 2.79232567324e+20 
39 3.02382057634e+21 2.60570122235e+20 3.11350884633e+21 2.68717593398e+20 3.14615125067e+21 2.81246265178e+20 
40 3.02423030481e+21 2.59072470723e+20 3.11256803979e+21 2.63817138009e+20 3.13449832745e+21 2.86792413643e+20 
41 3.02894094181e+21 2.60836783349e+20 3.11494596373e+21 2.59801381192e+20 3.14809009588e+21 2.95645628418e+20 
42 3.0307725912e+21 2.6143609591e+20 3.11556443183e+21 2.57355909727e+20 3.15308014101e+21 3.02818531554e+20 
43 3.02710365894e+21 2.63082714502e+20 3.1175177265e+21 2.62611543859e+20 3.15130616293e+21 2.99788965564e+20 
44 3.02472578544e+21 2.58774238665e+20 3.12243202097e+21 2.62868102371e+20 3.17357058746e+21 3.0090236042e+20 
45 3.02595980161e+21 2.52294374227e+20 3.12205339013e+21 2.67211201106e+20 3.17072190894e+21 3.01040407617e+20 
46 3.02229121322e+21 2.5443559138e+20 3.12034943884e+21 2.65656086178e+20 3.17172196281e+21 2.99850221927e+20 
47 3.01924058218e+21 2.53609941023e+20 3.11961898568e+21 2.65386291662e+20 3.1734715072e+21 3.07199823529e+20 
48 3.02117839305e+21 2.51080989197e+20 3.12190334816e+21 2.70248655963e+20 3.18126385608e+21 2.98006331343e+20 
49 3.02243779577e+21 2.51812232884e+20 3.12126862019e+21 2.6353104005e+20 3.18823227285e+21 3.09489544102e+20 
50 3.021546743e+21 2.51063210565e+20 3.12181999603e+21 2.62881835889e+20 3.19846138025e+21 3.08430777119e+20 
51 3.02227138712e+21 2.51332559837e+20 3.12348786571e+21 2.62264774429e+20 3.19126431986e+21 3.06879960521e+20 
52 3.01858812278e+21 2.48914847058e+20 3.12894722611e+21 2.65253237914e+20 3.20536633177e+21 3.03169790819e+20 
53 3.0202968035e+21 2.50072913696e+20 3.12719656589e+21 2.64761677712e+20 3.20849510109e+21 3.02770376106e+20 
54 3.0176469737e+21 2.46028255451e+20 3.12834958846e+21 2.61766492572e+20 3.20128568956e+21 3.09932780005e+20 
55 3.02342551094e+21 2.4770992488e+20 3.13352866377e+21 2.64342387812e+20 3.21367843579e+21 3.03548454844e+20 
56 3.02832390941e+21 2.51862464495e+20 3.13560304536e+21 2.68992156919e+20 3.21988978963e+21 3.03750242411e+20 
57 3.02412501222e+21 2.47102121664e+20 3.13653164093e+21 2.62185765468e+20 3.21436427336e+21 3.21512812611e+20 
58 3.02552875435e+21 2.4416847746e+20 3.13401269016e+21 2.65250036002e+20 3.22785275947e+21 3.16648000208e+20 
59 3.02527563336e+21 2.45950568042e+20 3.13574812554e+21 2.61126482841e+20 3.2330924127e+21 3.09366275461e+20 
60 3.02808892399e+21 2.43639337841e+20 3.1396878366e+21 2.60548065378e+20 3.23096165813e+21 3.22519614815e+20 
61 3.028264834e+21 2.49376096373e+20 3.13799339233e+21 2.58870472375e+20 3.23933254168e+21 3.24625952914e+20 
62 3.02839977146e+21 2.47794172333e+20 3.137834741e+21 2.55631745546e+20 3.24061144456e+21 3.21730409503e+20 
63 3.03147454225e+21 2.52977854159e+20 3.14182379658e+21 2.53157311063e+20 3.25088122596e+21 3.25928859453e+20 
64 3.03295231119e+21 2.43839728582e+20 3.14810563417e+21 2.55085149229e+20 3.25129588907e+21 3.19970128756e+20 
65 3.03275155531e+21 2.44842083431e+20 3.15548713583e+21 2.57219231693e+20 3.2625409513e+21 3.10873072138e+20 
66 3.03237993156e+21 2.40910092699e+20 3.15887627318e+21 2.55406314467e+20 3.25794321734e+21 3.26049500601e+20 
67 3.0281537108e+21 2.44645241866e+20 3.16440929304e+21 2.51832665371e+20 3.26830744366e+21 3.30046625266e+20 
68 3.02840991275e+21 2.44212725629e+20 3.1614284878e+21 2.54082113178e+20 3.25884531609e+21 3.25700730283e+20 
69 3.02291327944e+21 2.37413799514e+20 3.16474958199e+21 2.56638546713e+20 3.27334602377e+21 3.27704888532e+20 
70 3.02577026139e+21 2.35429722667e+20 3.17558381255e+21 2.65414731774e+20 3.2877966665e+21 3.22788707004e+20 
71 3.02656063197e+21 2.35990639502e+20 3.18213288893e+21 2.65910415069e+20 3.26580919454e+21 3.29196695545e+20 
72 3.02719998463e+21 2.35914473429e+20 3.17905815569e+21 2.65837217558e+20 3.28283982166e+21 3.3035435121e+20 
73 3.02838476614e+21 2.39340160729e+20 3.17426676144e+21 2.57077688805e+20 3.28344237531e+21 3.20994248655e+20 
74 3.02873479763e+21 2.39623331804e+20 3.1834675135e+21 2.63853360429e+20 3.28216224953e+21 3.27529685192e+20 
75 3.02749160598e+21 2.42505455843e+20 3.18950806419e+21 2.63668114084e+20 3.27852611254e+21 3.09155955348e+20 
76 3.0265483091e+21 2.44677313021e+20 3.1908858253e+21 2.61198420029e+20 3.28242762854e+21 3.22861239968e+20 
77 3.02589132881e+21 2.42805245483e+20 3.18814197255e+21 2.59249142939e+20 3.29472921521e+21 3.2128929037e+20 
78 3.03051133315e+21 2.45676472615e+20 3.19438135453e+21 2.66372997351e+20 3.28944705239e+21 3.3967748946e+20 
79 3.02747976307e+21 2.43312256902e+20 3.19538782136e+21 2.65705287618e+20 3.28345642245e+21 3.37338851779e+20 
80 3.02450361548e+21 2.3919570735e+20 3.19977543623e+21 2.6811688894e+20 3.29826930087e+21 3.28277456682e+20 
81 3.02256141574e+21 2.38509490261e+20 3.19692091043e+21 2.62717447881e+20 3.31271058155e+21 3.24834341603e+20 
82 3.03281717131e+21 2.4097708418e+20 3.1958461453e+21 2.66490831118e+20 3.28689150707e+21 3.24339296329e+20 
83 3.03456591785e+21 2.41729041375e+20 3.20504639222e+21 2.76362433691e+20 3.29484977564e+21 3.3125540804e+20 
84 3.03479105437e+21 2.4094748137e+20 3.19977426917e+21 2.76318554764e+20 3.32305826481e+21 3.2380863808e+20 
85 3.03674413419e+21 2.42314450982e+20 3.19926225039e+21 2.7811931706e+20 3.29256308607e+21 3.3938512273e+20 
86 3.03837644019e+21 2.4278326749e+20 3.20356397989e+21 2.75560546123e+20 3.31291557749e+21 3.34698144107e+20 
87 3.03811832199e+21 2.38532970505e+20 3.20574572071e+21 2.68693746708e+20 3.31763747351e+21 3.29102284161e+20 
88 3.04268866809e+21 2.44619396654e+20 3.21152747748e+21 2.78407314814e+20 3.30352651904e+21 3.34678529039e+20 
89 3.0489349967e+21 2.49029988361e+20 3.21505644985e+21 2.77654398833e+20 3.32360159035e+21 3.33413622146e+20 
90 3.05146058389e+21 2.52598104635e+20 3.21079979889e+21 2.75422742728e+20 3.32478180733e+21 3.33140475301e+20 
91 3.0535877843e+21 2.48425691176e+20 3.22644432412e+21 2.82180283304e+20 3.33561225565e+21 3.32996074688e+20 
92 3.05866430668e+21 2.43291640305e+20 3.2273331994e+21 2.88597096955e+20 3.32525732197e+21 3.38095506112e+20 
93 3.06043108081e+21 2.42679101671e+20 3.23602515151e+21 2.88306795641e+20 3.33015005112e+21 3.35312712475e+20 
94 3.0531003376e+21 2.41858990987e+20 3.23578307897e+21 2.87509071225e+20 3.32708481648e+21 3.46820859715e+20 
95 3.05426381233e+21 2.43472768173e+20 3.24120633427e+21 2.77874564817e+20 3.32990697263e+21 3.36845970034e+20 
96 3.05302557192e+21 2.40283758085e+20 3.2425323298e+21 2.85826205271e+20 3.33912650591e+21 3.35590777542e+20 
97 3.05301980291e+21 2.36239788142e+20 3.24429377561e+21 2.80661439609e+20 3.3516351009e+21 3.29338991208e+20 
