block_number 0.1_avg 0.1_stddev 0.33_avg 0.33_stddev 0.49_avg 0.49_stddev 0.1_expected 0.33_expected 0.49_expected
0 0.00855871805851 0.059927788839 0.0532554739904 0.106370213189 0.0900501613809 0.156173161636 0.01 0.033 0.049
1 0.0122739294905 0.0604253226395 0.0762635707794 0.120561053468 0.116146524232 0.153320464163 0.01 0.033 0.049
2 0.00687145574603 0.0149081061692 0.0617126198146 0.111487612004 0.0998692652406 0.116464716668 0.01 0.033 0.049
3 0.0074156771453 0.016707882662 0.0478368780114 0.0713334996242 0.0944897077464 0.0855825552243 0.01 0.033 0.049
4 0.00587065128375 0.0140571118715 0.0421830684039 0.0500174268318 0.0940602959004 0.0769359187647 0.01 0.033 0.049
5 0.00524860625145 0.0111559570351 0.0396771947739 0.0411212715841 0.0923808053008 0.057561057784 0.01 0.033 0.049
6 0.00578777387925 0.0104385714834 0.0357200746187 0.0323081803866 0.085478233154 0.0523453561468 0.01 0.033 0.049
7 0.00488863390518 0.00899974440159 0.036189841896 0.0305994218719 0.0862752032735 0.0496811741196 0.01 0.033 0.049
8 0.00459664237498 0.00879660709347 0.035757934183 0.0279978274771 0.0871349091705 0.0465505763793 0.01 0.033 0.049
9 0.00434382844963 0.00801340925228 0.0367093438744 0.0265648382253 0.0843383600276 0.0449886498481 0.01 0.033 0.049
10 0.00359357326842 0.00746158746302 0.0372521714671 0.0269615816153 0.085435380738 0.0441351711048 0.01 0.033 0.049
11 0.00321591363379 0.00704514194634 0.0363019837534 0.0264133270082 0.0874339185907 0.0414929415424 0.01 0.033 0.049
12 0.00339603764723 0.00683540593525 0.0354353328605 0.0256192760816 0.0848459371575 0.0391021607017 0.01 0.033 0.049
13 0.00331928319932 0.00658023238869 0.0355091643083 0.0258149011308 0.0850394804709 0.0382220842171 0.01 0.033 0.049
14 0.00323898445237 0.00668462699071 0.0369196681927 0.0253564698105 0.0833987877605 0.0365172935456 0.01 0.033 0.049
15 0.00341231902707 0.00676286820942 0.0363803162833 0.024891010623 0.0825403247092 0.0343592046374 0.01 0.033 0.049
16 0.00354882205851 0.00662407724649 0.0367036532683 0.0245808099211 0.0832040490392 0.0325521527795 0.01 0.033 0.049
17 0.0029299870064 0.00649429439512 0.0373240253826 0.0238181717785 0.0838218117987 0.0330580820306 0.01 0.033 0.049
18 0.00278179870099 0.00650391031725 0.0380735534202 0.02295016654 0.083205782059 0.0330233341819 0.01 0.033 0.049
19 0.00295089402602 0.00595170454386 0.0377358378055 0.0225439767128 0.0840081668836 0.0329170486687 0.01 0.033 0.049
20 0.00327862050048 0.00589012835684 0.0366286237563 0.0218532457314 0.0837116823383 0.032087347195 0.01 0.033 0.049
21 0.00332776002046 0.00606307948247 0.0375819115777 0.0221552481799 0.083091051535 0.0312133095242 0.01 0.033 0.049
22 0.00346299436677 0.0059804128416 0.0379987141515 0.0218490613614 0.0841128150146 0.0300979938535 0.01 0.033 0.049
23 0.00338059327548 0.00564874339068 0.0373683419364 0.0221927293274 0.0837010272479 0.0294466598394 0.01 0.033 0.049
24 0.00314029347468 0.00551477497734 0.0375921812837 0.0219265175997 0.0837035403444 0.028462889565 0.01 0.033 0.049
25 0.00325611644654 0.00516569587855 0.0376712853742 0.0214623756784 0.0844129227733 0.0275467480786 0.01 0.033 0.049
26 0.00352371167328 0.0052545839212 0.0376721795368 0.0210519464663 0.0842313686728 0.0268979038591 0.01 0.033 0.049
27 0.00373851345418 0.00518675482269 0.0377270147016 0.0204963253526 0.0847404745003 0.0273011950426 0.01 0.033 0.049
28 0.00369971174274 0.00491823254855 0.0376803222478 0.0195645552121 0.0843941935734 0.0264772562934 0.01 0.033 0.049
29 0.00393247855253 0.00479669124952 0.0378056858267 0.0192093637144 0.085210014243 0.0253254000544 0.01 0.033 0.049
30 0.00389594694862 0.00491353947535 0.0380692905146 0.0184992018747 0.0854138440756 0.0248431369366 0.01 0.033 0.049
31 0.00392013768633 0.0048725989117 0.0375142512117 0.0182736673134 0.0848403474717 0.0238221706383 0.01 0.033 0.049
32 0.00392640951787 0.00475603379795 0.0372558543285 0.0177892352306 0.0848320026993 0.023241049595 0.01 0.033 0.049
33 0.00381339997109 0.00468827730055 0.037386223625 0.0175424753074 0.0847967014651 0.0238223561566 0.01 0.033 0.049
34 0.00376634350364 0.00472547758662 0.0372570592218 0.0177253401402 0.0849668067181 0.0240497550938 0.01 0.033 0.049
35 0.00373344219951 0.00468526683137 0.0374823138451 0.0180261862572 0.0847097921092 0.0239203023139 0.01 0.033 0.049
36 0.00375103005861 0.00470360331506 0.0381086638585 0.0183119618192 0.0848654755803 0.0237280024583 0.01 0.033 0.049
37 0.00368340329339 0.00461048963547 0.0376651652975 0.0179805992939 0.0843780609933 0.0239374675005 0.01 0.033 0.049
38 0.00353695957355 0.00438152667069 0.0373309865964 0.0173070640742 0.0840860972441 0.023466166731 0.01 0.033 0.049
39 0.00374291219464 0.00429620393131 0.0376633323419 0.0167125866177 0.0841857263175 0.0227070920293 0.01 0.033 0.049
40 0.00382306371503 0.004253990687 0.0374352948121 0.0157505823679 0.0840883136139 0.0226912617455 0.01 0.033 0.049
41 0.00379543575439 0.00413104356543 0.0380247621979 0.0157165242171 0.0841113060568 0.0220938523434 0.01 0.033 0.049
42 0.0037918099825 0.00398211865576 0.0379595984799 0.015013474295 0.0842576887407 0.0218065496411 0.01 0.033 0.049
43 0.00373730736432 0.00399343141842 0.0384119543255 0.0150059746185 0.0844108494312 0.022128680596 0.01 0.033 0.049
44 0.00365103300829 0.00391260348584 0.038304192282 0.0152526071714 0.0845359051997 0.0217947297572 0.01 0.033 0.049
45 0.00357329072993 0.00363983242504 0.0382885231591 0.0147873967098 0.0849984994997 0.0216147874522 0.01 0.033 0.049
46 0.0036829935373 0.00361322120861 0.0383909979804 0.0144591728208 0.0850529992689 0.0213446776269 0.01 0.033 0.049
47 0.00363301989384 0.00359663222425 0.0380963987914 0.0137190377043 0.0851599425551 0.0215855524918 0.01 0.033 0.049
48 0.00349747396904 0.00346492177 0.0375547988631 0.0133456077367 0.084889520406 0.0218911068539 0.01 0.033 0.049
49 0.00346001466141 0.00344146020099 0.0375943381695 0.0129336082922 0.0846025360183 0.0220884343846 0.01 0.033 0.049
50 0.00341488203267 0.00339157461947 0.0375208112533 0.0132850578535 0.0845694897002 0.0220131647262 0.01 0.033 0.049
51 0.00331273666382 0.00315205021081 0.0375326080587 0.0132450988699 0.0847799809535 0.0215602726663 0.01 0.033 0.049
52 0.00329372367599 0.00307597994305 0.0372774674303 0.01287026871 0.0848394231465 0.0214227989719 0.01 0.033 0.049
53 0.00335055945878 0.00304507601715 0.0369833139998 0.0125992744997 0.084609605475 0.0211977881111 0.01 0.033 0.049
54 0.00325751157802 0.00310351101082 0.037053556614 0.0124519172517 0.0848452763332 0.0212368699916 0.01 0.033 0.049
55 0.00338689659951 0.00309151894881 0.0374128325422 0.0126630485983 0.0846959927237 0.0211581194367 0.01 0.033 0.049
56 0.00342108278693 0.00300934597099 0.0374654947157 0.0129310258111 0.0846690066379 0.0211500564784 0.01 0.033 0.049
57 0.0033344590281 0.0030360038628 0.0374529356802 0.0126515270637 0.0846663095839 0.0200149907077 0.01 0.033 0.049
58 0.0034136188257 0.00299452015127 0.0373128445972 0.0124596089141 0.0846229122176 0.0200912711602 0.01 0.033 0.049
59 0.0035160676341 0.0029899337662 0.0372799246989 0.0123339347703 0.0844679463067 0.020206358703 0.01 0.033 0.049
60 0.00346585699877 0.0029524570357 0.0370900434058 0.0122257932618 0.0841626515537 0.0199049208829 0.01 0.033 0.049
61 0.00338634593117 0.00296274978236 0.0371849406481 0.0121494625015 0.08479789561 0.0201871381226 0.01 0.033 0.049
62 0.00339952275303 0.00287615461223 0.0370256725142 0.0119405023079 0.0847880005438 0.0202174288481 0.01 0.033 0.049
63 0.00353969867366 0.0029165671373 0.0369685578271 0.0119293227749 0.0848717206151 0.0199280470619 0.01 0.033 0.049
64 0.0036597714514 0.00281508334333 0.0371535878452 0.0118897565061 0.0849521494038 0.0196745320665 0.01 0.033 0.049
65 0.00369585342041 0.00291678062274 0.0371666568305 0.0116734499538 0.0848978259762 0.01927946845 0.01 0.033 0.049
66 0.00364983016326 0.00284136422557 0.0372933447204 0.0112820198175 0.0846994036084 0.0191745265302 0.01 0.033 0.049
67 0.00363501096805 0.002887019328 0.037151468352 0.011135185885 0.0846558197664 0.0190339068595 0.01 0.033 0.049
68 0.00363760222566 0.00289076276041 0.037019351917 0.0109975799119 0.0847733954854 0.0190757333181 0.01 0.033 0.049
69 0.00366924266825 0.00281339916731 0.0368781316736 0.0108950160767 0.0846041029474 0.0188154755725 0.01 0.033 0.049
70 0.00369634331874 0.00278704246869 0.0370302863856 0.010915890632 0.0847216396669 0.0186686870504 0.01 0.033 0.049
