block_number 0.1_avg 0.1_stddev 0.33_avg 0.33_stddev 0.49_avg 0.49_stddev expected
0 9.81216666667 9.42181418453 8.863 11.0302074071 10.366 9.95599007856 10.0
1 10.2425 10.0213087898 11.134 11.5768859563 10.0718333333 9.22325041976 10.0
2 8.8435 8.82082129428 10.3111666667 10.2630513264 10.593 10.73904718 10.0
3 10.3685 9.38414054994 10.0876666667 11.2671044343 9.41833333333 9.0856549021 10.0
4 10.7106666667 10.9897590005 8.4285 9.15988364039 10.3321666667 10.8116147049 10.0
5 9.15266666667 7.56419442726 9.96233333333 9.67361319949 11.5575 12.497930801 10.0
6 11.5395 11.5925300793 9.72283333333 8.28486124574 10.153 8.72571626477 10.0
7 9.421 8.23600753467 10.2315 10.4584946588 12.3036666667 11.8122200331 10.0
8 10.5173333333 10.0949560893 8.99066666667 8.14521854287 9.74533333333 9.75132130078 10.0
9 9.71583333333 8.88732661184 11.0196666667 12.3963279464 8.89716666667 8.5804199117 10.0
10 8.96883333333 8.42244212902 10.9225 9.22838055343 12.027 11.9611098472 10.0
11 10.9815 11.833983995 10.2793333333 11.4401107512 12.6551666667 13.4441155436 10.0
12 11.7421666667 8.87573860933 8.663 9.4410953284 10.0885 9.26106446216 10.0
13 9.98 8.80514180591 10.1973333333 10.2814975995 9.80133333333 9.43686673519 10.0
14 10.5945 9.39605237882 10.4785 10.2050326079 9.882 7.92758709262 10.0
15 9.39816666667 8.57727938445 11.5643333333 11.8080386978 9.49 9.19507809163 10.0
16 9.57883333333 8.16291915888 10.0795 8.91542821773 11.0871666667 11.1027226028 10.0
17 8.58633333333 7.32772034431 11.1993333333 11.5452861761 9.792 10.0882958808 10.0
18 10.4203333333 10.0008767893 10.4926666667 9.98953238812 10.2206666667 10.5616016041 10.0
19 10.308 10.5374697785 9.95666666667 12.5831006601 9.83433333333 8.2726909568 10.0
20 9.40366666667 8.61647858596 9.06083333333 9.86020209817 9.59716666667 9.07470386875 10.0
21 10.6528333333 10.5211921206 9.7445 10.9545820081 8.93133333333 9.38161271377 10.0
