block_number 0.1_avg 0.1_stddev 0.33_avg 0.33_stddev 0.49_avg 0.49_stddev expected
0 9.249 8.79324166619 6.379 6.06483929438 4.64683333333 5.47660412573 10.0
1 8.1105 7.95642914567 6.6565 8.59132375488 5.47383333333 5.72991286292 10.0
2 9.1295 7.54275511667 7.5625 7.72478060638 4.24883333333 3.82183947494 10.0
3 9.505 9.52429014561 6.82133333333 8.48668960458 5.09266666667 5.28388920314 10.0
4 7.51066666667 9.03121670159 6.72116666667 6.56481355198 5.44916666667 5.85284943662 10.0
5 9.23516666667 9.04199366383 6.94416666667 6.94888894996 4.96 4.91112399445 10.0
6 8.36833333333 7.68189917924 7.639 7.91083968714 4.637 3.90352090355 10.0
7 9.95683333333 9.28463458714 6.64433333333 7.04445574745 4.72183333333 4.43101800129 10.0
8 8.54116666667 7.89440042583 6.68266666667 5.95701030533 4.86816666667 4.68339270128 10.0
9 10.5443333333 9.57380750335 6.41816666667 6.04679166308 6.23683333333 6.24853240325 10.0
10 10.3363333333 9.61603186235 9.114 7.05520403674 4.757 4.2462383222 10.0
11 8.74833333333 9.04792164594 6.2485 6.02096665135 5.31333333333 4.92702524631 10.0
12 8.99383333333 7.90980567784 8.03316666667 6.99109214763 5.84433333333 5.72978098282 10.0
13 8.22983333333 9.11580078003 8.57483333333 7.24412577925 4.72116666667 4.23217363052 10.0
14 9.14166666667 9.73768039342 5.69833333333 5.20992242425 5.3475 4.99801759312 10.0
15 9.882 9.13164147347 7.23083333333 6.38617011596 5.32333333333 4.50176200072 10.0
16 8.638 7.36494251316 6.30616666667 6.93343014956 4.84233333333 4.45752261788 10.0
17 9.82766666667 10.7853463397 7.76 6.64571248584 4.625 5.13515038187 10.0
18 9.479 9.14931862065 7.49166666667 7.38430599312 5.04783333333 5.47300580374 10.0
19 10.341 10.5667427495 6.732 6.38845037722 5.952 6.064 10.0
20 10.2543333333 8.47436153609 6.703 7.14579417093 5.16033333333 5.25261140344 10.0
21 8.93633333333 9.15813371939 7.6535 8.16677084797 5.26833333333 4.35498277838 10.0
22 10.2798333333 10.0703239204 6.25633333333 5.79718503529 6.12383333333 5.87388583052 10.0
23 9.1435 8.5144615198 7.47683333333 7.19130296299 5.826 5.55705373577 10.0
24 9.90583333333 9.59775650145 6.53133333333 7.55797161207 5.37816666667 4.93084999152 10.0
