hash_rate 0.0_avg 0.0_stddev 0.5_avg 0.5_stddev 1.0_avg 1.0_stddev expected_honest
0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
0.01 0.000991861031383 0.000126414806934 0.000998865464738 0.000120329862464 0.00101362279978 0.000113452898827 0.001
0.02 0.00200562194776 0.000156596368516 0.00196753273413 0.000147280901792 0.00203474401146 0.000152653073475 0.002
0.03 0.00301292249432 0.000186899563588 0.0030157113659 0.000181923638053 0.00302453873286 0.000201463150013 0.003
0.04 0.00407809671794 0.000204298946966 0.00404762779957 0.000223471396546 0.00404482871127 0.000232340206204 0.004
0.05 0.0050376151959 0.000223718348627 0.00507223404936 0.000265730314062 0.00502846904905 0.000238424968354 0.005
0.06 0.00607714836063 0.000231136078729 0.00611602576651 0.000276629843531 0.00609093842968 0.000271971303935 0.006
0.07 0.00709952441768 0.000295821911332 0.00710404319047 0.000284588652899 0.00716843419773 0.000279754213388 0.007
0.08 0.00812593160954 0.000310180836556 0.00817908964966 0.000312333554132 0.00813561806065 0.000293914154058 0.008
0.09 0.00920465274755 0.000347111281579 0.00919353200055 0.000319526111291 0.00924466012925 0.00032824410239 0.009
0.1 0.0102406458773 0.000339696435019 0.0102087992578 0.000334571878762 0.0102868821711 0.00036594798974 0.01
0.11 0.0112934593165 0.000351577746427 0.0112211889602 0.000344655639078 0.0112894744491 0.000328149094355 0.011
0.12 0.0123355505144 0.000381572291703 0.0123385859522 0.000342180724627 0.0123200155573 0.000396548421874 0.012
0.13 0.0133911193712 0.000364593492534 0.0133424289969 0.000449316352185 0.013367375899 0.000400400570859 0.013
0.14 0.0144619145555 0.000406250319374 0.0145332703365 0.000410424482566 0.0144530699155 0.000389205510017 0.014
0.15 0.0155464710729 0.000415787828456 0.0154907840285 0.000442219879521 0.0155895481547 0.00043248943195 0.015
0.16 0.0166413837322 0.000484615449826 0.0166442034213 0.000402900932724 0.0166742180825 0.000434133640681 0.016
0.17 0.0176434092792 0.000455658680749 0.0177089349269 0.000449051752455 0.0177346298116 0.000419421414863 0.017
0.18 0.0188961713586 0.000444161731203 0.0187629677936 0.00044320673382 0.0188764479533 0.000456666633898 0.018
0.19 0.0198970202752 0.000443166068873 0.0198942201287 0.000529732083104 0.0199668936284 0.000526172597263 0.019
0.2 0.0209709082883 0.000509865768712 0.0209921468197 0.000457210387455 0.0210201695437 0.000523987010824 0.02
0.21 0.0220985713042 0.000509532463269 0.022123193506 0.000466560400663 0.0221140052242 0.00049493712649 0.021
0.22 0.0231770056518 0.00049947351192 0.0232559895988 0.000481203517444 0.0233149201762 0.000493319400356 0.022
0.23 0.0243989779425 0.000535457645063 0.0243775314315 0.000574300444588 0.0242965832454 0.000516732868807 0.023
