hash_rate 0.0_avg 0.0_stddev expected_honest
0.0 0.0 0.0 0.0
0.01 0.000991861031383 0.000126414806934 0.001
0.02 0.00200562194776 0.000156596368516 0.002
0.03 0.00301292249432 0.000186899563588 0.003
0.04 0.00407809671794 0.000204298946966 0.004
0.05 0.0050376151959 0.000223718348627 0.005
0.06 0.00607714836063 0.000231136078729 0.006
0.07 0.00709952441768 0.000295821911332 0.007
0.08 0.00812593160954 0.000310180836556 0.008
0.09 0.00920465274755 0.000347111281579 0.009
0.1 0.0102406458773 0.000339696435019 0.01
0.11 0.0112934593165 0.000351577746427 0.011
0.12 0.0123355505144 0.000381572291703 0.012
0.13 0.0133911193712 0.000364593492534 0.013
0.14 0.0144619145555 0.000406250319374 0.014
0.15 0.0155464710729 0.000415787828456 0.015
0.16 0.0166413837322 0.000484615449826 0.016
0.17 0.0176434092792 0.000455658680749 0.017
0.18 0.0188961713586 0.000444161731203 0.018
0.19 0.0198970202752 0.000443166068873 0.019
0.2 0.0209709082883 0.000509865768712 0.02
0.21 0.0220985713042 0.000509532463269 0.021
0.22 0.0231770056518 0.00049947351192 0.022
0.23 0.0243989779425 0.000535457645063 0.023
0.24 0.0254801821942 0.000467124480753 0.024
0.25 0.0266650900677 0.000541249382287 0.025
0.26 0.0277477734699 0.000566982575286 0.026
0.27 0.0289017886097 0.000613556395666 0.027
0.28 0.0300796641275 0.000589841039933 0.028
0.29 0.0311406129545 0.000549318344869 0.029
0.3 0.0322842171457 0.000611128186242 0.03
0.31 0.0336107008443 0.000548919460834 0.031
0.32 0.0347900132544 0.000618141409122 0.032
0.33 0.0358241146163 0.000645604625504 0.033
0.34 0.0371188872981 0.000626627028814 0.034
0.35 0.038265821338 0.000597973540044 0.035
0.36 0.039491503073 0.000547497101253 0.036
0.37 0.0407629994732 0.000606609654123 0.037
0.38 0.0419603297451 0.000669915336107 0.038
0.39 0.043199357809 0.000697791281545 0.039
0.4 0.0443796418499 0.000740922340748 0.04
0.41 0.0456980079708 0.0006662891049 0.041
0.42 0.046808487411 0.000651671998915 0.042
0.43 0.0480904414825 0.000766462205696 0.043
0.44 0.0494152333934 0.000697879254482 0.044
0.45 0.0506732287308 0.000701158237223 0.045
0.46 0.0519240360634 0.000744713495541 0.046
0.47 0.0531351921561 0.00061942035859 0.047
0.48 0.054479914453 0.0007187658569 0.048
0.49 0.0557486067477 0.000756060245852 0.049
0.5 0.0570695737436 0.000799886691277 0.05
