block_number 0.1_avg 0.1_stddev 0.33_avg 0.33_stddev 0.49_avg 0.49_stddev 0.1_expected 0.33_expected 0.49_expected
0 0.015262034197 0.0938045792051 0.310690625786 1.99193002586 0.369951543647 1.03989263232 0.01 0.033 0.049
1 0.0200618187553 0.093595167639 0.107227251391 0.183192887718 0.184091928693 0.278027774302 0.01 0.033 0.049
2 0.0193998969547 0.0756437692993 0.102892419567 0.170702055798 0.143523805853 0.135205361522 0.01 0.033 0.049
3 0.0160381609416 0.0316858261517 0.0870911561021 0.12257906619 0.12354891248 0.0951703548615 0.01 0.033 0.049
4 0.0167685060181 0.0297852698537 0.0747617357928 0.0812200385525 0.113029075433 0.0747573067095 0.01 0.033 0.049
5 0.0162143296538 0.0229906083055 0.0701564361555 0.0663578007342 0.10777945228 0.0603092433988 0.01 0.033 0.049
6 0.0150366607621 0.0204696050694 0.0674138747676 0.065070270023 0.105213533731 0.0564593512385 0.01 0.033 0.049
7 0.0156613152901 0.0207764961952 0.0647220077224 0.046869202293 0.101535104511 0.049531999455 0.01 0.033 0.049
8 0.0153199977829 0.0186371032349 0.0665869409868 0.0446658338075 0.101266683168 0.0475771188824 0.01 0.033 0.049
9 0.0159686508752 0.0178517988732 0.0653006113867 0.0424090230535 0.102714824866 0.0458442339497 0.01 0.033 0.049
10 0.0157747417717 0.0170031810212 0.0635142538236 0.037690641523 0.100123605929 0.0395468820728 0.01 0.033 0.049
11 0.0153120476609 0.0151790301857 0.0616286311493 0.0312371654288 0.10082267619 0.0365600032814 0.01 0.033 0.049
12 0.0147716267586 0.0146052835529 0.0603957169762 0.0325253371765 0.0985942984254 0.034248076082 0.01 0.033 0.049
13 0.0143229608039 0.0132443410332 0.0602947805609 0.0322047066679 0.098795695348 0.0336964719298 0.01 0.033 0.049
14 0.0143187343704 0.0127752500394 0.0603693423283 0.032113451292 0.0992335458791 0.0318138720194 0.01 0.033 0.049
15 0.0140312426087 0.0122108818209 0.0582006793 0.0306701275918 0.0982970464793 0.0321728720569 0.01 0.033 0.049
16 0.0142771564024 0.0120874302673 0.0594875318111 0.0294083368447 0.0978841735439 0.0310154684265 0.01 0.033 0.049
17 0.0141656191308 0.0112288377848 0.0583211711884 0.0278702806792 0.0991741154896 0.0312064289701 0.01 0.033 0.049
18 0.0140803891197 0.0107875292662 0.0573072796026 0.0247721682563 0.0988558999008 0.0285199291073 0.01 0.033 0.049
19 0.0141912319174 0.0103612143698 0.0572265230204 0.0248216151184 0.098231714904 0.0283662760172 0.01 0.033 0.049
20 0.0142128661052 0.00999277851075 0.0570009397965 0.0235157522636 0.096502713456 0.0270847653416 0.01 0.033 0.049
21 0.014163734677 0.00988406963603 0.056146363013 0.021580176516 0.0966234508609 0.02734095764 0.01 0.033 0.049
