block_number 0.1_avg 0.1_stddev 0.33_avg 0.33_stddev 0.49_avg 0.49_stddev
0 3.00033609456e+21 6.74897101968e+19 3.00537971648e+21 6.43262058086e+19 3.00751085081e+21 6.44338030106e+19 
1 3.00033609456e+21 6.74897101968e+19 3.00537971648e+21 6.43262058086e+19 3.00751085081e+21 6.44338030106e+19 
2 3.00033609456e+21 6.74897101968e+19 3.00537971648e+21 6.43262058086e+19 3.00751085081e+21 6.44338030106e+19 
3 3.00033609456e+21 6.74897101968e+19 3.00537971648e+21 6.43262058086e+19 3.00751085081e+21 6.44338030106e+19 
4 3.00033609456e+21 6.74897101968e+19 3.00537971648e+21 6.43262058086e+19 3.00751085081e+21 6.44338030106e+19 
5 3.00033609456e+21 6.74897101968e+19 3.00537971648e+21 6.43262058086e+19 3.00751085081e+21 6.44338030106e+19 
6 3.00033609456e+21 6.74897101968e+19 3.00537971648e+21 6.43262058086e+19 3.00751085081e+21 6.44338030106e+19 
7 3.00033609456e+21 6.74897101968e+19 3.00537971648e+21 6.43262058086e+19 3.00751085081e+21 6.44338030106e+19 
8 3.00033609456e+21 6.74897101968e+19 3.00537971648e+21 6.43262058086e+19 3.00751085081e+21 6.44338030106e+19 
9 3.00033609456e+21 6.74897101968e+19 3.00537971648e+21 6.43262058086e+19 3.00751085081e+21 6.44338030106e+19 
10 3.00033609456e+21 6.74897101968e+19 3.00537971648e+21 6.43262058086e+19 3.00751085081e+21 6.44338030106e+19 
11 3.00033609456e+21 6.74897101968e+19 3.00537971648e+21 6.43262058086e+19 3.00751085081e+21 6.44338030106e+19 
12 3.00033609456e+21 6.74897101968e+19 3.00537971648e+21 6.43262058086e+19 3.00751085081e+21 6.44338030106e+19 
13 3.00033609456e+21 6.74897101968e+19 3.00537971648e+21 6.43262058086e+19 3.00751085081e+21 6.44338030106e+19 
14 3.00033609456e+21 6.74897101968e+19 3.00537971648e+21 6.43262058086e+19 3.00751085081e+21 6.44338030106e+19 
15 3.00033609456e+21 6.74897101968e+19 3.00537971648e+21 6.43262058086e+19 3.00751085081e+21 6.44338030106e+19 
16 3.00033609456e+21 6.74897101968e+19 3.00537971648e+21 6.43262058086e+19 3.00751085081e+21 6.44338030106e+19 
17 3.00033609456e+21 6.74897101968e+19 3.00537971648e+21 6.43262058086e+19 3.00751085081e+21 6.44338030106e+19 
18 3.00033609456e+21 6.74897101968e+19 3.00537971648e+21 6.43262058086e+19 3.00751085081e+21 6.44338030106e+19 
19 3.00033609456e+21 6.74897101968e+19 3.00537971648e+21 6.43262058086e+19 3.00751085081e+21 6.44338030106e+19 
20 3.00033609456e+21 6.74897101968e+19 3.00537971648e+21 6.43262058086e+19 3.00751085081e+21 6.44338030106e+19 
21 3.00033609456e+21 6.74897101968e+19 3.00537971648e+21 6.43262058086e+19 3.00751085081e+21 6.44338030106e+19 
22 3.00033609456e+21 6.74897101968e+19 3.00537971648e+21 6.43262058086e+19 3.00751085081e+21 6.44338030106e+19 
23 3.00033609456e+21 6.74897101968e+19 3.00537971648e+21 6.43262058086e+19 3.00751085081e+21 6.44338030106e+19 
24 3.00033609456e+21 6.74897101968e+19 3.00537971648e+21 6.43262058086e+19 3.00751085081e+21 6.44338030106e+19 
25 3.00033609456e+21 6.74897101968e+19 3.00537971648e+21 6.43262058086e+19 3.00751085081e+21 6.44338030106e+19 
26 3.00033609456e+21 6.74897101968e+19 3.00537971648e+21 6.43262058086e+19 3.00751085081e+21 6.44338030106e+19 
27 3.00033609456e+21 6.74897101968e+19 3.00537971648e+21 6.43262058086e+19 3.00751085081e+21 6.44338030106e+19 
28 3.00033609456e+21 6.74897101968e+19 3.00537971648e+21 6.43262058086e+19 3.00751085081e+21 6.44338030106e+19 
29 3.00033609456e+21 6.74897101968e+19 3.00537971648e+21 6.43262058086e+19 3.00751085081e+21 6.44338030106e+19 
30 3.00033609456e+21 6.74897101968e+19 3.00537971648e+21 6.43262058086e+19 3.00751085081e+21 6.44338030106e+19 
31 3.00033609456e+21 6.74897101968e+19 3.00537971648e+21 6.43262058086e+19 3.00751085081e+21 6.44338030106e+19 
32 3.00033609456e+21 6.74897101968e+19 3.00537971648e+21 6.43262058086e+19 3.00751085081e+21 6.44338030106e+19 
33 3.00033609456e+21 6.74897101968e+19 3.00537971648e+21 6.43262058086e+19 3.00751085081e+21 6.44338030106e+19 
34 3.00033609456e+21 6.74897101968e+19 3.00537971648e+21 6.43262058086e+19 3.00751085081e+21 6.44338030106e+19 
35 3.00033609456e+21 6.74897101968e+19 3.00537971648e+21 6.43262058086e+19 3.00751085081e+21 6.44338030106e+19 
36 3.00033609456e+21 6.74897101968e+19 3.00537971648e+21 6.43262058086e+19 3.00751085081e+21 6.44338030106e+19 
37 3.00033609456e+21 6.74897101968e+19 3.00537971648e+21 6.43262058086e+19 3.00751085081e+21 6.44338030106e+19 
38 3.00033609456e+21 6.74897101968e+19 3.00537971648e+21 6.43262058086e+19 3.00751085081e+21 6.44338030106e+19 
39 3.00033609456e+21 6.74897101968e+19 3.00537971648e+21 6.43262058086e+19 3.00751085081e+21 6.44338030106e+19 
40 3.00033609456e+21 6.74897101968e+19 3.00537971648e+21 6.43262058086e+19 3.00751085081e+21 6.44338030106e+19 
41 3.00033609456e+21 6.74897101968e+19 3.00537971648e+21 6.43262058086e+19 3.00751085081e+21 6.44338030106e+19 
42 3.00033609456e+21 6.74897101968e+19 3.00537971648e+21 6.43262058086e+19 3.00751085081e+21 6.44338030106e+19 
43 3.00033609456e+21 6.74897101968e+19 3.00537971648e+21 6.43262058086e+19 3.00751085081e+21 6.44338030106e+19 
44 3.00033609456e+21 6.74897101968e+19 3.00537971648e+21 6.43262058086e+19 3.00751085081e+21 6.44338030106e+19 
45 3.00033609456e+21 6.74897101968e+19 3.00537971648e+21 6.43262058086e+19 3.00751085081e+21 6.44338030106e+19 
46 3.00033609456e+21 6.74897101968e+19 3.00537971648e+21 6.43262058086e+19 3.00751085081e+21 6.44338030106e+19 
47 3.00033609456e+21 6.74897101968e+19 3.00537971648e+21 6.43262058086e+19 3.00751085081e+21 6.44338030106e+19 
