block_number 0.1_avg 0.1_stddev 0.33_avg 0.33_stddev 0.49_avg 0.49_stddev 0.1_expected 0.33_expected 0.49_expected
0 0.0274401287893 0.207097020174 0.0308943118625 0.0576250487746 0.0600857590675 0.113314381204 0.01 0.033 0.049
1 0.0332161695969 0.206972720035 0.0434782348542 0.0604425045335 0.0740437712613 0.109859980835 0.01 0.033 0.049
2 0.0101123284563 0.0202485061881 0.0373177021148 0.0526723921678 0.0470206964165 0.0582130713979 0.01 0.033 0.049
3 0.00658202324256 0.0190935113974 0.0323936266854 0.0419270898364 0.045837872566 0.0425637700079 0.01 0.033 0.049
4 0.00407306726856 0.0125144744657 0.033979106935 0.0380693906993 0.0480240136059 0.0409814128308 0.01 0.033 0.049
5 0.00459672438472 0.0114437919829 0.0337289126157 0.0341917923151 0.0439730642176 0.0367191205928 0.01 0.033 0.049
6 0.00427985106015 0.0118973217615 0.0317709127478 0.0327046272863 0.0414844301341 0.0268662912766 0.01 0.033 0.049
7 0.00472509782421 0.012036726497 0.0318439121163 0.0305542886144 0.0417419392986 0.0261825260656 0.01 0.033 0.049
8 0.00481554732999 0.00915094817286 0.0309784165369 0.0247978721194 0.0429225686296 0.0266346237873 0.01 0.033 0.049
9 0.00447768376662 0.00857758953994 0.0301011823284 0.0229045404335 0.0421713099615 0.0244922852609 0.01 0.033 0.049
10 0.00424083565788 0.00842528149064 0.0273595770343 0.0209735169326 0.0418744434206 0.0221874620755 0.01 0.033 0.049
11 0.00390197633217 0.00722361889741 0.0271587892232 0.0203780159743 0.0419357606797 0.0215257030887 0.01 0.033 0.049
12 0.00419485932289 0.00706030369735 0.0270879940954 0.0202613114436 0.0417318694194 0.0203175348883 0.01 0.033 0.049
13 0.00394685326058 0.00691671644308 0.0256789188073 0.018721127128 0.0415461905112 0.0195401993746 0.01 0.033 0.049
14 0.00343176496749 0.00663159855589 0.0253711283079 0.0170571386205 0.0418989464544 0.0192336736686 0.01 0.033 0.049
15 0.00375049904441 0.00608821619007 0.0255043222087 0.0161061028037 0.0417861102477 0.0191896633693 0.01 0.033 0.049
16 0.00389288334437 0.00589223660295 0.0247332814351 0.0158780420263 0.0418755108271 0.0193156556499 0.01 0.033 0.049
