block_number 0.1_avg 0.1_stddev 0.33_avg 0.33_stddev 0.49_avg 0.49_stddev expected
0 11.2043333333 11.3003243857 8.87 7.67675459495 11.2085 10.9870455272 10.0
1 8.97733333333 8.50387575691 10.1715 10.5062373789 11.4021666667 10.387325518 10.0
2 10.3085 9.3454289168 8.25766666667 8.08395750855 11.3965 11.6467845575 10.0
3 9.60283333333 9.325148213 10.252 9.76322046139 9.69483333333 10.3673777074 10.0
4 8.77616666667 8.25134913379 8.2685 8.16558424629 12.4436666667 13.982481456 10.0
5 9.59266666667 9.52911629341 11.2233333333 12.5715925359 11.5531666667 12.4856383486 10.0
6 9.84983333333 8.8647474411 11.4223333333 11.9922412927 8.841 6.68717405021 10.0
7 9.926 8.23638786794 7.766 7.33307079833 11.022 10.4570318925 10.0
8 9.27683333333 9.0136488773 9.6105 9.82656537007 8.35966666667 8.86442803193 10.0
9 9.1525 9.56045831508 10.828 10.4869484705 11.5085 12.9781507617 10.0
10 10.1341666667 10.4843686227 11.4963333333 11.5161742731 12.0893333333 11.9077496988 10.0
11 9.0945 8.36542588907 8.31133333333 8.77817365211 9.35883333333 9.56102866822 10.0
12 10.6281666667 9.54534316216 9.80183333333 8.66224595427 10.4853333333 10.3143401469 10.0
13 10.732 9.7998771761 10.2803333333 9.44837034155 11.3641666667 11.5399375058 10.0
14 9.08266666667 11.7292421655 10.023 10.3958773292 12.3965 11.4305881775 10.0
15 10.2113333333 10.9809508999 9.712 9.11833381466 9.75883333333 10.9135869587 10.0
16 8.65266666667 7.82393752815 11.0373333333 11.049548035 10.6075 10.8070371556 10.0
17 10.2643333333 9.45983968034 10.2713333333 9.77428914153 10.0895 10.662345389 10.0
18 10.0446666667 9.16356731846 8.19566666667 9.029833461 10.1026666667 9.28128425022 10.0
19 10.5305 11.4006581328 9.411 8.55984625381 8.651 8.01697186529 10.0
20 9.63466666667 10.7463923352 9.62966666667 9.14057789931 10.8768333333 10.6162587297 10.0
21 8.47333333333 7.06083131712 10.2813333333 9.62327048819 9.30166666667 8.01896172969 10.0
22 10.6051666667 9.33985060998 11.416 10.3304952877 10.8495 10.223854311 10.0
23 9.49816666667 9.64173909365 11.1446666667 10.9505205051 8.24316666667 6.83682638161 10.0
24 10.1038333333 10.6898131298 10.2863333333 12.5313155246 11.8923333333 10.8857599184 10.0
25 11.1278333333 10.6899405089 10.2755 9.26305788693 9.17483333333 8.11754016347 10.0
26 10.4755 10.4622555607 10.9815 10.4038592986 9.83083333333 12.572281101 10.0
27 8.58166666667 8.08459972898 12.2561666667 10.5243811259 8.8405 8.66479763661 10.0
28 9.1005 9.22465520434 10.2761666667 8.89881523169 9.10066666667 8.34150563281 10.0
29 11.1503333333 11.2078015933 8.14966666667 10.0426921966 8.94283333333 7.23241517022 10.0
30 9.73166666667 9.12898512675 10.2758333333 11.6035172769 9.31516666667 9.25523788487 10.0
31 10.6368333333 9.55230114655 8.74683333333 7.52928678008 10.2703333333 9.66405498628 10.0
32 11.4838333333 11.2459788999 10.4216666667 11.6308678142 9.05433333333 8.15530932038 10.0
33 8.7655 7.5308632584 10.468 11.0400039452 10.0541666667 10.1821522433 10.0
34 9.08566666667 10.0109775913 8.55483333333 7.99034983763 10.5121666667 9.42927882685 10.0
35 12.2906666667 14.726961918 9.45583333333 10.4530533485 12.2306666667 11.2586413035 10.0
36 7.80733333333 8.81912924651 10.8701666667 11.768302836 10.9963333333 9.43384997996 10.0
37 8.26533333333 7.98847005238 10.6058333333 9.60645366841 9.88233333333 9.54020056276 10.0
38 10.89 10.4863623075 8.8665 8.66501827112 9.37916666667 9.17809087356 10.0
39 7.53583333333 7.3573090548 11.0658333333 12.3113922796 9.50766666667 9.60576228105 10.0
40 10.9146666667 12.5521054631 8.85583333333 7.93361112084 11.3788333333 12.2145584482 10.0
41 10.7366666667 10.6209878699 9.17416666667 8.91288467301 10.0568333333 10.1607767351 10.0
42 9.2375 8.90696805098 9.82916666667 8.78408642407 10.4593333333 10.2896766821 10.0
43 8.03316666667 7.76548470799 10.4675 11.7065471651 9.521 8.27045330613 10.0
44 9.77583333333 9.58830751344 9.641 8.63286176962 9.7955 9.73300023831 10.0
45 9.64766666667 9.16711060137 9.68416666667 9.10506677473 10.651 10.2755888774 10.0
46 10.861 8.89977534673 10.0683333333 9.23627104289 9.771 11.0756599051 10.0
47 10.4881666667 11.308154947 11.974 13.5290332495 11.4928333333 10.9868641909 10.0
48 9.1995 9.53739553751 8.53266666667 9.77779085479 10.5428333333 12.5486177315 10.0
49 10.5766666667 12.6298442851 10.8676666667 10.4564527712 9.26666666667 8.50207556358 10.0
50 10.5505 10.6192881261 9.24066666667 9.00420683162 9.00616666667 11.4156237127 10.0
51 9.33866666667 9.20027230273 11.3835 12.8921432782 10.4826666667 10.7937250083 10.0
52 8.477 8.50776794726 10.8753333333 9.75994236094 10.1885 9.31856650129 10.0
53 9.56566666667 9.60854967088 8.51283333333 8.41957964608 10.491 10.5850482653 10.0
54 12.932 11.3235103705 8.52116666667 6.67624264546 10.3118333333 9.87326645684 10.0
55 13.2926666667 13.3541267696 8.96983333333 10.6269447096 9.99066666667 9.72268119171 10.0
56 9.3235 8.54293928568 8.805 9.25282854651 11.9183333333 9.62148738213 10.0
57 10.1573333333 10.8607039674 9.61616666667 8.51606535875 10.3468333333 10.9238398049 10.0
58 11.3643333333 9.95458856229 10.5068333333 10.8521232165 11.1436666667 10.1950300474 10.0
59 9.42216666667 10.7443367654 9.64183333333 9.19184133862 12.3445 10.7803682309 10.0
60 9.917 8.01433298673 9.24133333333 7.93467267406 8.60966666667 6.81860737655 10.0
61 9.71916666667 8.66680108069 8.4735 7.43243196889 10.094 10.9083045632 10.0
62 7.98683333333 7.97297250264 9.80433333333 9.93915478745 11.4516666667 10.2031241131 10.0
63 10.3301666667 9.86737854836 9.80116666667 9.5756285709 12.034 13.3665982791 10.0
64 10.021 11.7550865161 10.9731666667 10.7317778104 10.243 12.4114915793 10.0
65 11.5041666667 10.1412475605 10.9423333333 9.99574115422 9.5395 9.06797498373 10.0
