hash_rate 0.0_avg 0.0_stddev expected_honest
0.0 0.0 0.0 0.0
0.01 4.46362281587e-05 3.25452002267e-05 0.001
0.02 0.000146556921259 6.52357712388e-05 0.002
0.03 0.000341970553415 8.97771225857e-05 0.003
0.04 0.000601540140673 0.000122552941498 0.004
0.05 0.000926668661075 0.000137082574203 0.005
0.06 0.00134531019155 0.000182453950101 0.006
0.07 0.0018059845545 0.000202432765941 0.007
0.08 0.00235604540553 0.000243149396342 0.008
0.09 0.00287549468872 0.000265231371775 0.009
0.1 0.00359657085737 0.0003022923743 0.01
0.11 0.00432600324376 0.000285068690516 0.011
0.12 0.00505449988455 0.000349532159182 0.012
0.13 0.00586728196024 0.000369062185494 0.013
0.14 0.00681593546731 0.000389952287166 0.014
0.15 0.00765980437438 0.000427465478436 0.015
0.16 0.00865549946244 0.000423297393266 0.016
0.17 0.00972140275315 0.000492607022048 0.017
0.18 0.0107041991163 0.000471594990454 0.018
0.19 0.011951133866 0.00054562938519 0.019
0.2 0.0131251420385 0.000557094745495 0.02
0.21 0.0143771623241 0.000604713111405 0.021
0.22 0.0156298075606 0.000597916265284 0.022
0.23 0.0169920891589 0.00057234151358 0.023
0.24 0.0185139810927 0.00066771011345 0.024
0.25 0.0196923602756 0.00063049125038 0.025
0.26 0.0214703271753 0.000779420036599 0.026
0.27 0.0229760353178 0.000836780940391 0.027
0.28 0.0245031111375 0.000717460776826 0.028
0.29 0.0263188347426 0.00082679329387 0.029
0.3 0.0280295299646 0.000952871505921 0.03
0.31 0.0297068442663 0.000804554719666 0.031
0.32 0.0318698978131 0.000966006603511 0.032
0.33 0.0338440763234 0.000938832842623 0.033
0.34 0.0358131027496 0.000935441620243 0.034
0.35 0.0378809378894 0.000953539525391 0.035
0.36 0.0399408254295 0.00102181818527 0.036
0.37 0.0423970115673 0.00102805989166 0.037
0.38 0.0450435476985 0.0012177611738 0.038
0.39 0.0473760469879 0.00123137846739 0.039
0.4 0.0501359956954 0.0014926823715 0.04
0.41 0.0530660495282 0.00138405947311 0.041
0.42 0.0560724516575 0.00135254060593 0.042
0.43 0.0596182619511 0.00164959833236 0.043
0.44 0.0631423805982 0.00188624220514 0.044
0.45 0.067635420514 0.00187171776337 0.045
0.46 0.0721242806967 0.00211062801821 0.046
0.47 0.0766798875955 0.00248368028976 0.047
0.48 0.0826723382893 0.00231533573514 0.048
0.49 0.0899930757374 0.0033809641663 0.049
0.5 0.0967728960504 0.00224647511302 0.05
