block_number 0.1_avg 0.1_stddev 0.33_avg 0.33_stddev 0.49_avg 0.49_stddev
0 2.99551902705e+21 6.30689902993e+19 2.99370660481e+21 6.47723320711e+19 3.00028655882e+21 5.82545689745e+19 
1 2.99551902705e+21 6.30689902993e+19 2.99370660481e+21 6.47723320711e+19 3.00028655882e+21 5.82545689745e+19 
2 2.99551902705e+21 6.30689902993e+19 2.99370660481e+21 6.47723320711e+19 3.00028655882e+21 5.82545689745e+19 
3 2.99551902705e+21 6.30689902993e+19 2.99370660481e+21 6.47723320711e+19 3.00028655882e+21 5.82545689745e+19 
4 2.99551902705e+21 6.30689902993e+19 2.99370660481e+21 6.47723320711e+19 3.00028655882e+21 5.82545689745e+19 
5 2.99551902705e+21 6.30689902993e+19 2.99370660481e+21 6.47723320711e+19 3.00028655882e+21 5.82545689745e+19 
6 2.99551902705e+21 6.30689902993e+19 2.99370660481e+21 6.47723320711e+19 3.00028655882e+21 5.82545689745e+19 
7 2.99551902705e+21 6.30689902993e+19 2.99370660481e+21 6.47723320711e+19 3.00028655882e+21 5.82545689745e+19 
8 2.99551902705e+21 6.30689902993e+19 2.99370660481e+21 6.47723320711e+19 3.00028655882e+21 5.82545689745e+19 
9 2.99551902705e+21 6.30689902993e+19 2.99370660481e+21 6.47723320711e+19 3.00028655882e+21 5.82545689745e+19 
10 2.99551902705e+21 6.30689902993e+19 2.99370660481e+21 6.47723320711e+19 3.00028655882e+21 5.82545689745e+19 
11 2.99551902705e+21 6.30689902993e+19 2.99370660481e+21 6.47723320711e+19 3.00028655882e+21 5.82545689745e+19 
12 2.99551902705e+21 6.30689902993e+19 2.99370660481e+21 6.47723320711e+19 3.00028655882e+21 5.82545689745e+19 
13 2.99551902705e+21 6.30689902993e+19 2.99370660481e+21 6.47723320711e+19 3.00028655882e+21 5.82545689745e+19 
14 2.99551902705e+21 6.30689902993e+19 2.99370660481e+21 6.47723320711e+19 3.00028655882e+21 5.82545689745e+19 
15 2.99551902705e+21 6.30689902993e+19 2.99370660481e+21 6.47723320711e+19 3.00028655882e+21 5.82545689745e+19 
16 2.99551902705e+21 6.30689902993e+19 2.99370660481e+21 6.47723320711e+19 3.00028655882e+21 5.82545689745e+19 
17 2.99551902705e+21 6.30689902993e+19 2.99370660481e+21 6.47723320711e+19 3.00028655882e+21 5.82545689745e+19 
18 2.99551902705e+21 6.30689902993e+19 2.99370660481e+21 6.47723320711e+19 3.00028655882e+21 5.82545689745e+19 
19 2.99551902705e+21 6.30689902993e+19 2.99370660481e+21 6.47723320711e+19 3.00028655882e+21 5.82545689745e+19 
20 2.99551902705e+21 6.30689902993e+19 2.99370660481e+21 6.47723320711e+19 3.00028655882e+21 5.82545689745e+19 
21 2.99551902705e+21 6.30689902993e+19 2.99370660481e+21 6.47723320711e+19 3.00028655882e+21 5.82545689745e+19 
22 2.99551902705e+21 6.30689902993e+19 2.99370660481e+21 6.47723320711e+19 3.00028655882e+21 5.82545689745e+19 
23 2.99551902705e+21 6.30689902993e+19 2.99370660481e+21 6.47723320711e+19 3.00028655882e+21 5.82545689745e+19 
24 2.99551902705e+21 6.30689902993e+19 2.99370660481e+21 6.47723320711e+19 3.00028655882e+21 5.82545689745e+19 
25 2.99551902705e+21 6.30689902993e+19 2.99370660481e+21 6.47723320711e+19 3.00028655882e+21 5.82545689745e+19 
26 2.99551902705e+21 6.30689902993e+19 2.99370660481e+21 6.47723320711e+19 3.00028655882e+21 5.82545689745e+19 
27 2.99551902705e+21 6.30689902993e+19 2.99370660481e+21 6.47723320711e+19 3.00028655882e+21 5.82545689745e+19 
28 2.99551902705e+21 6.30689902993e+19 2.99370660481e+21 6.47723320711e+19 3.00028655882e+21 5.82545689745e+19 
29 2.99551902705e+21 6.30689902993e+19 2.99370660481e+21 6.47723320711e+19 3.00028655882e+21 5.82545689745e+19 
30 2.99551902705e+21 6.30689902993e+19 2.99370660481e+21 6.47723320711e+19 3.00028655882e+21 5.82545689745e+19 
31 2.99551902705e+21 6.30689902993e+19 2.99370660481e+21 6.47723320711e+19 3.00028655882e+21 5.82545689745e+19 
32 2.99551902705e+21 6.30689902993e+19 2.99370660481e+21 6.47723320711e+19 3.00028655882e+21 5.82545689745e+19 
33 2.99551902705e+21 6.30689902993e+19 2.99370660481e+21 6.47723320711e+19 3.00028655882e+21 5.82545689745e+19 
34 2.99551902705e+21 6.30689902993e+19 2.99370660481e+21 6.47723320711e+19 3.00028655882e+21 5.82545689745e+19 
35 2.99551902705e+21 6.30689902993e+19 2.99370660481e+21 6.47723320711e+19 3.00028655882e+21 5.82545689745e+19 
36 2.99551902705e+21 6.30689902993e+19 2.99370660481e+21 6.47723320711e+19 3.00028655882e+21 5.82545689745e+19 
37 2.99551902705e+21 6.30689902993e+19 2.99370660481e+21 6.47723320711e+19 3.00028655882e+21 5.82545689745e+19 
38 2.99551902705e+21 6.30689902993e+19 2.99370660481e+21 6.47723320711e+19 3.00028655882e+21 5.82545689745e+19 
39 2.99551902705e+21 6.30689902993e+19 2.99370660481e+21 6.47723320711e+19 3.00028655882e+21 5.82545689745e+19 
40 2.99551902705e+21 6.30689902993e+19 2.99370660481e+21 6.47723320711e+19 3.00028655882e+21 5.82545689745e+19 
41 2.99551902705e+21 6.30689902993e+19 2.99370660481e+21 6.47723320711e+19 3.00028655882e+21 5.82545689745e+19 
42 2.99551902705e+21 6.30689902993e+19 2.99370660481e+21 6.47723320711e+19 3.00028655882e+21 5.82545689745e+19 
43 2.99551902705e+21 6.30689902993e+19 2.99370660481e+21 6.47723320711e+19 3.00028655882e+21 5.82545689745e+19 
44 2.99551902705e+21 6.30689902993e+19 2.99370660481e+21 6.47723320711e+19 3.00028655882e+21 5.82545689745e+19 
45 2.99551902705e+21 6.30689902993e+19 2.99370660481e+21 6.47723320711e+19 3.00028655882e+21 5.82545689745e+19 
46 2.99551902705e+21 6.30689902993e+19 2.99370660481e+21 6.47723320711e+19 3.00028655882e+21 5.82545689745e+19 
47 2.99551902705e+21 6.30689902993e+19 2.99370660481e+21 6.47723320711e+19 3.00028655882e+21 5.82545689745e+19 
48 2.99551902705e+21 6.30689902993e+19 2.99370660481e+21 6.47723320711e+19 3.00028655882e+21 5.82545689745e+19 
49 2.99551902705e+21 6.30689902993e+19 2.99370660481e+21 6.47723320711e+19 3.00028655882e+21 5.82545689745e+19 
50 2.99551902705e+21 6.30689902993e+19 2.99370660481e+21 6.47723320711e+19 3.00028655882e+21 5.82545689745e+19 
51 2.99551902705e+21 6.30689902993e+19 2.99370660481e+21 6.47723320711e+19 3.00028655882e+21 5.82545689745e+19 
52 2.99551902705e+21 6.30689902993e+19 2.99370660481e+21 6.47723320711e+19 3.00028655882e+21 5.82545689745e+19 
53 2.99551902705e+21 6.30689902993e+19 2.99370660481e+21 6.47723320711e+19 3.00028655882e+21 5.82545689745e+19 
54 2.99551902705e+21 6.30689902993e+19 2.99370660481e+21 6.47723320711e+19 3.00028655882e+21 5.82545689745e+19 
55 2.99551902705e+21 6.30689902993e+19 2.99370660481e+21 6.47723320711e+19 3.00028655882e+21 5.82545689745e+19 
56 2.99551902705e+21 6.30689902993e+19 2.99370660481e+21 6.47723320711e+19 3.00028655882e+21 5.82545689745e+19 
57 2.99551902705e+21 6.30689902993e+19 2.99370660481e+21 6.47723320711e+19 3.00028655882e+21 5.82545689745e+19 
58 2.99551902705e+21 6.30689902993e+19 2.99370660481e+21 6.47723320711e+19 3.00028655882e+21 5.82545689745e+19 
