block_number 0.1_avg 0.1_stddev 0.33_avg 0.33_stddev 0.49_avg 0.49_stddev 0.1_expected 0.33_expected 0.49_expected
0 0.00486705291112 0.0232840534686 0.0377210958158 0.131047112849 0.0523424761535 0.104867382036 0.01 0.033 0.049
1 0.0109088599218 0.0322159458434 0.0550838036259 0.130472201638 0.0644307994186 0.102420705926 0.01 0.033 0.049
2 0.00867474431008 0.0247300824496 0.0419032040879 0.0756267822965 0.0475103322472 0.0441307356485 0.01 0.033 0.049
3 0.0078370286982 0.0193149893832 0.0329924293355 0.0491135440947 0.0456952889445 0.0369481717935 0.01 0.033 0.049
4 0.00660730949984 0.0166078262304 0.0285989568633 0.0303794207236 0.044185720442 0.0314348465476 0.01 0.033 0.049
5 0.00605728338542 0.0155531763089 0.0282649979628 0.0272131526577 0.0423700279351 0.030535635837 0.01 0.033 0.049
6 0.00671894571073 0.013955485125 0.0288906613864 0.0264927618733 0.042453302003 0.0283157829 0.01 0.033 0.049
7 0.00562231112662 0.0123752783351 0.0290035087572 0.0247567549932 0.0440654688143 0.0248186805984 0.01 0.033 0.049
8 0.00493947801711 0.0123306937963 0.0281447429139 0.023569328755 0.0450219572451 0.0231604849682 0.01 0.033 0.049
9 0.00495203604143 0.0116061808396 0.027079571983 0.0222407621207 0.0454729366203 0.0228384852358 0.01 0.033 0.049
10 0.00507164356745 0.0103380240292 0.0259815197237 0.0199641378905 0.0455216988674 0.0217853406414 0.01 0.033 0.049
11 0.00490694348469 0.00906950518446 0.0252169477467 0.0190060275505 0.0451214267068 0.0211058077283 0.01 0.033 0.049
12 0.004744479953 0.00877085039046 0.0253271971644 0.0185201279224 0.0450591076035 0.0206090492159 0.01 0.033 0.049
13 0.0039951013611 0.0078589915796 0.0252270664978 0.0170403778681 0.0444136063858 0.0197632729454 0.01 0.033 0.049
14 0.00366931490392 0.00731430457519 0.0252212351588 0.0161392787847 0.0442139438799 0.0196889028686 0.01 0.033 0.049
15 0.0038994638371 0.0069242241355 0.026387549157 0.0151259641772 0.0437274231706 0.0187905832502 0.01 0.033 0.049
16 0.00396182379879 0.00654417382478 0.0262810362233 0.0143289924369 0.0440983452941 0.0188167841972 0.01 0.033 0.049
17 0.00416431421186 0.00635975243953 0.0256625119688 0.0137800133513 0.044529555089 0.018702694332 0.01 0.033 0.049
18 0.00395287485965 0.00639447818701 0.0257036372746 0.0137059619826 0.0440377194265 0.018880232206 0.01 0.033 0.049
19 0.00356244596113 0.005820057722 0.0259489172652 0.0132587454171 0.0445965023269 0.0192003845602 0.01 0.033 0.049
20 0.00340040225873 0.00541193139281 0.0255429378465 0.0131361040905 0.0443103513832 0.0190499556075 0.01 0.033 0.049
21 0.00324715066567 0.00524808860314 0.0256615072595 0.012769973826 0.0443576714436 0.0181665928278 0.01 0.033 0.049
22 0.00323211203234 0.00497547379053 0.0253485342013 0.0125579744191 0.0440083356041 0.0175099177748 0.01 0.033 0.049
23 0.00355832548054 0.00489932882863 0.0253008228703 0.0123820440664 0.0440049152797 0.0179161039906 0.01 0.033 0.049
24 0.00371616127442 0.00478577248305 0.0253483963066 0.012428010491 0.0435450710602 0.0173217437573 0.01 0.033 0.049
25 0.00381483694807 0.0048798582997 0.025611475297 0.0122693402836 0.0437291000169 0.0166636134057 0.01 0.033 0.049
26 0.00373039957558 0.0048063934045 0.0259145350389 0.0124568805873 0.0438386589897 0.0161537068124 0.01 0.033 0.049
27 0.00382382279149 0.00497189096112 0.0254213841703 0.0118299878078 0.0438680634262 0.0162194822464 0.01 0.033 0.049
28 0.00396903956535 0.00507994770374 0.0254143655238 0.0118369747603 0.0438602941025 0.0159897543299 0.01 0.033 0.049
29 0.00416761005445 0.00502416358532 0.0255027599154 0.0116040196805 0.0440596159579 0.0151808611887 0.01 0.033 0.049
30 0.00422186320579 0.00484787894737 0.0258225182485 0.0116644101773 0.0437990031644 0.0147239385914 0.01 0.033 0.049
31 0.00405792278399 0.00450630070899 0.0256888557567 0.0117419766014 0.0441108666167 0.014864690327 0.01 0.033 0.049
32 0.00409397761997 0.00433079689396 0.025889770629 0.0122044824179 0.0442076142986 0.0145474020792 0.01 0.033 0.049
33 0.00391619115488 0.00434699682174 0.0260482259749 0.012407631587 0.0442912034809 0.0140837083769 0.01 0.033 0.049
34 0.00394624410457 0.00423135914665 0.0256842949035 0.0119324145307 0.0443664525278 0.0137653985359 0.01 0.033 0.049
35 0.00410608537404 0.00428002131323 0.0253599432767 0.011686391609 0.0446535039286 0.0135127372602 0.01 0.033 0.049
36 0.00404386179596 0.00422338789496 0.0253266531644 0.0114431730491 0.0447741559892 0.0134477548812 0.01 0.033 0.049
37 0.00410565832863 0.00409175974712 0.0252011719302 0.0114977374362 0.0449678695495 0.0131243357902 0.01 0.033 0.049
38 0.00419880271443 0.0043092723046 0.0250520671096 0.011222246575 0.0450950610532 0.0130156814858 0.01 0.033 0.049
39 0.00412360351289 0.00438091745324 0.0249744063852 0.0106552690439 0.044777548294 0.0128933243456 0.01 0.033 0.049
40 0.00406205844292 0.00424220466216 0.0250850228322 0.0104466807211 0.0446532237053 0.0123043712328 0.01 0.033 0.049
41 0.00410421700246 0.00417180882535 0.0251979893059 0.0101336320269 0.0448088699252 0.01237291819 0.01 0.033 0.049
42 0.00403382541289 0.0041392847873 0.0252957905107 0.0100445334623 0.0448721465835 0.0123689287282 0.01 0.033 0.049
43 0.00386392280599 0.00409705848162 0.0252866165516 0.0100631098996 0.0447745643194 0.0118304559514 0.01 0.033 0.049
44 0.00373830523136 0.00400110300966 0.0250720066533 0.00995279428874 0.0448094284868 0.0117515918271 0.01 0.033 0.049
45 0.00385921196042 0.00399725306981 0.0250675184733 0.00993780001014 0.0450253316135 0.0117239142656 0.01 0.033 0.049
46 0.00383680951535 0.00398183146136 0.024915411739 0.00996772168446 0.0452444873294 0.0116599078928 0.01 0.033 0.049
47 0.00375492453637 0.00393509126921 0.0248504055913 0.0099438775366 0.0452199235871 0.011534255521 0.01 0.033 0.049
48 0.00387329958775 0.00392732293539 0.0250760084863 0.00978913616538 0.0448688615649 0.0114009922915 0.01 0.033 0.049
49 0.00379526856713 0.00387109110136 0.0252039395925 0.00996564228498 0.044855593155 0.0111686908421 0.01 0.033 0.049
50 0.0039040238209 0.00396537194617 0.0253037098204 0.0097254063576 0.0448178203595 0.0113110355707 0.01 0.033 0.049
51 0.00398907449245 0.00406756427019 0.025401514492 0.0094378946205 0.044788430479 0.011314026193 0.01 0.033 0.049
52 0.00396083533722 0.00413477275175 0.0252393742305 0.00900141239722 0.0447419091696 0.0111446276129 0.01 0.033 0.049
53 0.0039162921423 0.00394723687849 0.0250890989728 0.00883183670371 0.0450625056742 0.011313408019 0.01 0.033 0.049
54 0.00389011343724 0.00385952267425 0.0249715772393 0.00853269064872 0.0451016506144 0.0110473526161 0.01 0.033 0.049
55 0.00379889005384 0.00377282019964 0.0250534569721 0.00858750158494 0.0451488503805 0.0109234285137 0.01 0.033 0.049
56 0.00378511032652 0.00376620849416 0.0248854265998 0.00836048630968 0.0452561600395 0.0107310207982 0.01 0.033 0.049
57 0.00383085222941 0.00388771505048 0.0249820924805 0.00839834218824 0.0451004782621 0.0104680977669 0.01 0.033 0.049
