block_number 0.1_avg 0.1_stddev 0.33_avg 0.33_stddev 0.49_avg 0.49_stddev expected
0 10.7088333333 9.0988648422 8.9375 8.57441879307 11.4845 10.9400193619 10.0
1 9.72033333333 9.25358026208 10.8071666667 10.7983036875 9.9755 9.59724047578 10.0
2 9.17533333333 8.18914575656 8.4705 8.31370617147 9.3605 8.00632550446 10.0
3 11.5116666667 10.8191228593 8.45433333333 8.79204521144 10.161 9.47542295157 10.0
4 9.25833333333 10.1287403242 9.41133333333 7.70512559563 10.0193333333 9.31361002929 10.0
5 9.72616666667 10.7466530332 10.5033333333 8.65423242633 10.9178333333 13.077316505 10.0
6 9.36866666667 8.70022135095 9.0205 8.40507513847 8.46433333333 8.19263050281 10.0
7 10.5806666667 11.0756398661 9.33316666667 10.6255456056 9.66133333333 8.3030890771 10.0
8 10.7841666667 10.1148156942 8.189 8.06446981794 10.0685 10.255513123 10.0
9 9.91616666667 9.8574414798 9.85683333333 10.541871301 7.25366666667 6.85562687789 10.0
10 11.2871666667 10.9625921648 9.2375 10.5783403905 11.0425 12.8576512835 10.0
11 8.65466666667 7.55551898357 11.523 12.71096722 10.2696666667 9.35376435809 10.0
12 9.35316666667 10.706965722 10.3625 8.69616913583 9.54766666667 8.88154110126 10.0
13 11.1508333333 11.1658316541 12.716 11.3060261513 10.3775 9.14399024709 10.0
14 9.651 8.16342616662 9.53483333333 9.28943040205 10.3593333333 9.21044857153 10.0
15 8.68183333333 8.6810534739 8.20983333333 7.47569881349 11.024 10.9249951233 10.0
16 10.6858333333 9.46833065628 9.45333333333 9.77975601832 9.28533333333 9.19310740597 10.0
17 10.2396666667 9.06416073825 9.81716666667 9.9797429423 11.068 12.8126395234 10.0
18 9.7355 9.28606053747 9.57116666667 9.04337629152 8.83116666667 8.33268285961 10.0
19 10.0201666667 9.64312803532 7.99516666667 7.81320509529 9.59 9.62834213259 10.0
20 12.0793333333 11.5149673421 9.74966666667 11.3051001224 9.26416666667 8.08698281018 10.0
21 11.0911666667 10.1818385305 9.69416666667 8.22545181974 11.5693333333 11.6651898399 10.0
22 11.098 11.9571213741 11.3881666667 12.8093744524 10.3831666667 11.072081129 10.0
23 9.95616666667 9.24365477714 8.66233333333 8.1546893871 10.4503333333 10.7231136595 10.0
24 11.9165 10.3259421133 9.693 9.20523618503 10.0026666667 9.92418278751 10.0
25 7.6255 7.2831660755 10.974 10.317634128 10.5136666667 9.94722277824 10.0
26 10.3408333333 9.70660982555 7.6095 7.9862410345 10.7648333333 10.6978982606 10.0
27 10.4021666667 8.96729633942 9.46016666667 9.01546199439 12.3685 12.0609834441 10.0
28 8.71483333333 7.2217649024 9.608 9.03933364063 9.92116666667 9.45830671215 10.0
29 8.65533333333 7.19214806423 8.8135 8.91040300092 9.2495 8.38675227003 10.0
30 9.938 10.7679759472 9.97233333333 9.83332322598 9.7615 9.17812426219 10.0
31 10.3308333333 10.4189345198 9.70966666667 7.61183843321 11.1611666667 12.3195023923 10.0
32 11.7146666667 12.331364095 9.18133333333 7.95840131908 11.0333333333 11.5448011388 10.0
33 11.811 12.8577560294 9.45416666667 8.99891177835 10.7551666667 11.0982663048 10.0
34 12.0236666667 11.8023190235 9.25983333333 10.2630472773 10.821 9.51937720302 10.0
35 7.74533333333 8.30318582767 9.79666666667 8.6600016038 8.40783333333 8.66798209729 10.0
36 9.4945 9.81918475203 10.6998333333 9.3007327952 10.3246666667 11.6817662953 10.0
37 8.50816666667 7.55773830624 10.56 11.4280592792 9.30933333333 8.22579895478 10.0
38 9.543 8.85297695693 10.766 10.9284117276 8.98683333333 8.13035816315 10.0
39 8.84866666667 8.76694254319 11.1063333333 11.5226686676 9.75533333333 10.4007563507 10.0
40 9.50166666667 9.44333112719 8.44583333333 8.8529045375 11.0913333333 9.8332461804 10.0
41 10.4483333333 10.4223822986 10.06 10.5068942974 9.0305 10.01329895 10.0
42 11.3805 11.7579486247 10.866 9.39382152741 11.2476666667 11.5302891021 10.0
43 11.5791666667 10.6527368354 11.0406666667 10.1363932661 9.6005 10.6440253077 10.0
44 9.64483333333 11.097406027 9.7595 10.6353590691 10.493 9.25138043153 10.0
45 8.215 7.31192652072 10.9421666667 11.6403115305 10.8863333333 10.7827512414 10.0
46 12.0431666667 12.6542483194 9.75333333333 7.54931417047 9.0865 8.95923319356 10.0
47 9.56 9.84939930486 9.531 8.28317002522 12.2085 11.5231938799 10.0
48 9.934 10.494838128 9.17366666667 9.30039401196 11.9923333333 13.7960425928 10.0
49 9.90066666667 8.88363943187 9.72683333333 9.01378508946 11.242 9.24319012992 10.0
50 9.5355 9.24349550735 9.75883333333 10.412677224 9.81516666667 10.8228251844 10.0
51 10.5911666667 12.0948853871 10.3588333333 12.1697316813 10.9816666667 11.5364144488 10.0
52 8.46666666667 9.96863665035 9.90283333333 10.8305414492 9.45083333333 9.71229300509 10.0
53 10.3273333333 10.5882853297 10.4288333333 9.31932456273 10.444 9.3475515273 10.0
54 10.4183333333 10.0979680299 12.321 12.614408565 9.30066666667 7.44325120122 10.0
55 9.92633333333 9.55789527622 9.504 10.778729084 10.0683333333 10.6090180455 10.0
56 8.5345 8.33832925411 9.2215 7.90439655965 10.0865 9.39675732929 10.0
57 9.80483333333 9.6819239637 7.99166666667 7.16890914528 11.0048333333 9.30554622404 10.0
