block_number 0.1_avg 0.1_stddev 0.33_avg 0.33_stddev 0.49_avg 0.49_stddev expected
0 8.0915 7.87902154635 5.91333333333 5.42353974203 4.8415 5.0699241146 10.0
1 10.004 9.06809551241 7.35233333333 7.44284108687 5.3215 4.79011963142 10.0
2 8.554 7.86987156467 5.74966666667 6.18760273989 5.0905 5.09910735925 10.0
3 9.938 9.48397861894 7.44116666667 6.78867907909 4.83466666667 5.00380004485 10.0
4 8.87866666667 10.0528791011 5.93766666667 5.39978169312 5.42683333333 5.83537197472 10.0
5 9.09816666667 9.29095763961 5.80216666667 6.34798334338 4.474 4.36289552171 10.0
6 11.0648333333 11.8328351761 6.0225 6.6934243748 5.536 6.08463215359 10.0
7 7.6555 6.82986743608 7.00766666667 7.38728314967 6.1065 5.90970618512 10.0
8 9.46616666667 9.6728935275 8.12583333333 10.0057373472 4.65533333333 4.95243760407 10.0
9 9.44766666667 7.14150778509 7.58966666667 8.82889944696 4.46283333333 3.8053900771 10.0
10 9.75166666667 9.81774258394 7.14116666667 6.33492938442 5.20816666667 4.9515724186 10.0
11 10.1673333333 9.91061157436 6.827 7.13033534352 4.5205 5.00973045128 10.0
12 9.74916666667 9.44914851396 7.19116666667 6.75642429059 5.58816666667 5.62777254881 10.0
13 9.53766666667 8.1001006921 6.34983333333 8.95212218632 5.20483333333 4.49506908549 10.0
14 10.1526666667 11.335827108 6.91566666667 8.24417835674 5.5105 5.81547105907 10.0
15 9.49116666667 8.92395635199 5.95783333333 6.22765670885 4.72833333333 4.86240823964 10.0
16 9.33833333333 9.50065655626 6.00066666667 6.7732233915 5.73616666667 5.94681243048 10.0
17 9.1405 8.92809058067 6.64483333333 7.75205194879 5.60683333333 5.78770876513 10.0
18 8.48383333333 8.41614039774 6.76783333333 6.39503681468 5.1255 4.94244847947 10.0
19 9.34983333333 9.37368286896 6.10316666667 6.17277116546 4.91066666667 4.47413338598 10.0
20 8.5345 7.45344337091 5.70883333333 6.57014732416 4.71433333333 5.03351490842 10.0
21 7.23533333333 7.69688727849 6.29916666667 5.39760408525 4.80166666667 5.3994904595 10.0
22 9.63933333333 8.83376430395 6.61166666667 6.60953330845 5.39533333333 5.73378054457 10.0
23 8.91766666667 7.5226741773 6.11716666667 6.37665597446 4.54916666667 4.12364885279 10.0
24 8.51483333333 8.12889629484 6.9425 6.0427212298 5.28416666667 5.28053520804 10.0
25 9.16283333333 9.24722837005 5.58 5.47928421927 5.40516666667 5.42107753485 10.0
26 7.85266666667 8.65589578136 7.0575 6.48351558227 4.755 4.39927866562 10.0
27 8.87733333333 7.45617772201 7.65983333333 7.77611445925 4.96966666667 4.85737662393 10.0
28 8.19833333333 8.85269999617 5.9545 4.82804817648 5.03533333333 5.65330546377 10.0
29 7.91866666667 6.67382543973 7.501 7.70308517558 5.46333333333 5.1019653076 10.0
30 9.71683333333 9.4844845508 7.48766666667 6.11496689371 4.6255 4.11293046042 10.0
31 9.6345 7.40264564381 6.22183333333 7.51945354656 4.48383333333 4.38469526054 10.0
32 9.15983333333 9.4990634319 5.74416666667 5.62036197678 5.26883333333 4.88233246569 10.0
33 9.15616666667 10.4892441352 7.39283333333 8.7140226248 5.3805 5.51811363451 10.0
34 10.2115 11.2800573026 7.58666666667 8.2639585618 4.47033333333 4.23948672208 10.0
35 7.4505 7.09894728307 6.08816666667 6.70526049498 4.82416666667 4.39781598258 10.0
36 9.482 8.96645559851 5.43983333333 5.43988148104 5.51266666667 4.6507843544 10.0
37 8.61966666667 8.97651886869 6.90783333333 6.20540242002 5.87933333333 5.93113916358 10.0
38 9.29116666667 7.78032791904 5.826 6.09100581003 5.20433333333 4.92891616439 10.0
39 9.34716666667 11.8218735719 7.94533333333 8.5694930746 5.03516666667 4.56567987818 10.0
40 9.49 8.51997685182 6.44766666667 6.06967188386 4.99366666667 5.03855180913 10.0
41 9.78833333333 9.84933091354 5.95966666667 6.26994071388 5.1635 5.81705953544 10.0
42 8.6555 9.07363490039 6.3715 6.47943254331 5.9395 5.56495215862 10.0
43 8.16716666667 8.02489960304 6.025 5.37408571035 4.95183333333 5.47763072008 10.0
44 10.2678333333 10.10888615 6.4475 6.89335282678 4.44833333333 4.60593126064 10.0
45 8.80283333333 8.18274439666 7.151 7.18243606925 5.69666666667 5.01363695889 10.0
46 10.2416666667 13.4615517308 6.07983333333 5.59674771383 5.31566666667 5.54112344205 10.0
47 8.67483333333 9.11158099923 5.48633333333 5.66341150623 5.58216666667 5.39101529038 10.0
48 7.56083333333 8.94509188047 7.51183333333 10.1819154209 4.84966666667 5.02997237677 10.0
49 8.539 8.72280192624 7.2985 6.70357578502 5.49666666667 4.83072170822 10.0
50 10.3455 10.0946184384 6.44416666667 6.36067491833 5.8495 5.07164035211 10.0
51 9.583 9.32436026403 6.65983333333 7.09418779902 4.98816666667 5.01405042245 10.0
52 9.46816666667 8.96454531753 7.3355 7.14188220406 4.935 5.32157845213 10.0
53 7.2335 8.82508624289 6.13133333333 5.9575630178 5.269 5.24066525675 10.0
54 8.4875 7.494485519 6.38433333333 5.79602201706 4.582 4.47248668093 10.0
55 9.4475 7.97886909802 6.49833333333 7.27759823782 5.583 4.6613767518 10.0
56 8.75666666667 7.66364396935 6.70416666667 6.26484387276 4.40483333333 3.83671104449 10.0
57 7.83833333333 7.40772700931 7.23183333333 6.47261242767 4.3285 4.62214554257 10.0
58 10.2595 8.85150685696 6.88616666667 6.84422427022 4.53483333333 4.34038214843 10.0
59 9.05 8.61361809385 6.50733333333 7.13688903593 5.76583333333 5.54938603961 10.0
