hash_rate 0.0_avg 0.0_stddev 0.5_avg 0.5_stddev 1.0_avg 1.0_stddev lower_bound upper_bound expected_honest
0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
0.01 0.0418800158906 0.00548808717904 0.0443398023288 0.0048679152887 0.0430221551194 0.00448096145362 0.0352941 0.0666667 0.0418800158906
0.02 0.0861123333165 0.00723410627313 0.0876119864223 0.00752453733812 0.085634139161 0.00746677685521 0.0705882 0.133333 0.0861123333165
0.03 0.127893597713 0.00814009719015 0.133262946138 0.00923870226468 0.13055446841 0.00928556212572 0.105882 0.2 0.127893597713
0.04 0.173376313064 0.00923054085435 0.176892923697 0.0089444302337 0.174221781694 0.00980667529266 0.141176 0.266667 0.173376313064
0.05 0.219079640512 0.0114014140893 0.224273731547 0.0114244057729 0.216712142173 0.0114729186622 0.176471 0.333333 0.219079640512
0.06 0.261712670406 0.0119854039462 0.268510332116 0.0107689510355 0.264874921595 0.0121094234457 0.211765 0.4 0.261712670406
0.07 0.307069561818 0.0132032995122 0.314146078386 0.0126986344566 0.306955727385 0.0134724885465 0.247059 0.466667 0.307069561818
0.08 0.352900273584 0.015689056604 0.360719268069 0.0131488616127 0.349071287311 0.0134428817625 0.282353 0.533333 0.352900273584
0.09 0.39581963469 0.0143544421933 0.406044626302 0.0149422620664 0.39824449304 0.0148482499014 0.317647 0.6 0.39581963469
0.1 0.444148084491 0.0177482827063 0.453938744664 0.0167918455633 0.445650733251 0.014854852762 0.352941 0.666667 0.444148084491
0.11 0.490911560801 0.0153207457892 0.501618019846 0.015063595669 0.492819091222 0.0169128518859 0.388235 0.733333 0.490911560801
0.12 0.534798639386 0.0175226135849 0.549198756472 0.0171368491707 0.537796427569 0.0191054572109 0.423529 0.8 0.534798639386
0.13 0.585527553472 0.0158173788598 0.593422146792 0.0181075966643 0.582292566114 0.0167163458256 0.458824 0.866667 0.585527553472
0.14 0.630889605267 0.018478634461 0.64261280942 0.0181337991469 0.626107817797 0.0179802881677 0.494118 0.933333 0.630889605267
0.15 0.67919442206 0.0169041824701 0.690336087624 0.0184215798977 0.677486630802 0.0174690141803 0.529412 1 0.67919442206
0.16 0.725361125244 0.0205866599002 0.73517992918 0.0189815066776 0.725170521135 0.0193128861232 0.564706 1.06667 0.725361125244
0.17 0.771094086291 0.017056998414 0.788420191708 0.0201385664774 0.773678934372 0.0205179427812 0.6 1.13333 0.771094086291
0.18 0.82298053909 0.0192194754726 0.833576816514 0.0203335106322 0.821573288654 0.0211441280005 0.635294 1.2 0.82298053909
0.19 0.873979853751 0.0220978968027 0.886247426659 0.0218009861415 0.868512070114 0.0195040084603 0.670588 1.26667 0.873979853751
0.2 0.91933904263 0.0201776161219 0.930620198066 0.0203133389259 0.918559617576 0.0234117470984 0.705882 1.33333 0.91933904263
0.21 0.967407696881 0.0240069398381 0.983874169261 0.020003468834 0.96553044046 0.0199516532053 0.741176 1.4 0.967407696881
0.22 1.01689717904 0.0207975266996 1.0336817169 0.0216863741274 1.01966140124 0.0249025985551 0.776471 1.46667 1.01689717904
0.23 1.06836233004 0.0252828922994 1.08019052174 0.0233463618668 1.06964943984 0.0259924950169 0.811765 1.53333 1.06836233004
0.24 1.11436528481 0.0235062355315 1.13253401207 0.0240440538726 1.11410832988 0.0221453189208 0.847059 1.6 1.11436528481
0.25 1.17114999714 0.0244204783391 1.18757947655 0.019893737351 1.17415231597 0.024788053659 0.882353 1.66667 1.17114999714
0.26 1.21881888291 0.0236673968414 1.24112905018 0.0218066457837 1.22291271201 0.0221467439407 0.917647 1.73333 1.21881888291
0.27 1.27154583557 0.025619494019 1.29064504283 0.023853562257 1.26840484325 0.0229270765948 0.952941 1.8 1.27154583557
0.28 1.32691862478 0.0249975974789 1.33950158805 0.0241222617194 1.3291616752 0.027840728862 0.988235 1.86667 1.32691862478
0.29 1.37851962044 0.0259413215735 1.39497240454 0.0246538269506 1.37772332162 0.0215139857274 1.02353 1.93333 1.37851962044
0.3 1.43356955877 0.0263998676441 1.44874769157 0.0251561034303 1.43072459402 0.0257287772045 1.05882 2 1.43356955877
0.31 1.48885544226 0.0275082068815 1.50206463725 0.0252532067027 1.48410808838 0.0236276824699 1.09412 2.06667 1.48885544226
0.32 1.54213561794 0.0258257046863 1.56173695563 0.0273210430389 1.54135876944 0.0272059432707 1.12941 2.13333 1.54213561794
0.33 1.59510447043 0.0298434524941 1.61481134988 0.0248070564031 1.59561951971 0.0254836791385 1.16471 2.2 1.59510447043
0.34 1.64836078219 0.0262824500196 1.66879258546 0.0310237904755 1.65195141106 0.0272936764696 1.2 2.26667 1.64836078219
0.35 1.70423077983 0.0283609736549 1.72369376399 0.0254020411732 1.70277657199 0.0253524989585 1.23529 2.33333 1.70423077983
0.36 1.75841237399 0.023175230123 1.77941317053 0.0296185449536 1.76147007912 0.0264112971696 1.27059 2.4 1.75841237399
0.37 1.81203741313 0.0262988460292 1.83947975828 0.0273493374997 1.81560380997 0.0305397800041 1.30588 2.46667 1.81203741313
