block_number 0.1_avg 0.1_stddev 0.33_avg 0.33_stddev 0.49_avg 0.49_stddev
0 6.91254259973e+19 1.14482878424e+18 6.8917144109e+19 1.1877803856e+18 6.88096156358e+19 1.13426522453e+18 
1 6.91219278292e+19 1.13793046603e+18 6.89283314687e+19 1.19352664694e+18 6.88314390222e+19 1.13384200591e+18 
2 6.91199282604e+19 1.14006071695e+18 6.89448384613e+19 1.19502072658e+18 6.88489711328e+19 1.13759579215e+18 
3 6.91233898268e+19 1.14613787509e+18 6.89572296963e+19 1.19193724205e+18 6.88711945281e+19 1.14036698911e+18 
4 6.91285279945e+19 1.15127324424e+18 6.89669850996e+19 1.19234485019e+18 6.88893287514e+19 1.13947966352e+18 
5 6.91285646238e+19 1.15437355279e+18 6.8975731202e+19 1.19239526896e+18 6.89108870772e+19 1.14186449194e+18 
6 6.91308818332e+19 1.15245262515e+18 6.89915418054e+19 1.19195395454e+18 6.89344429116e+19 1.14262821201e+18 
7 6.91283282107e+19 1.14236339238e+18 6.90009352669e+19 1.19032316767e+18 6.89533118791e+19 1.14438855543e+18 
8 6.91292716689e+19 1.13874639322e+18 6.90181836694e+19 1.1948113111e+18 6.89761801911e+19 1.14344250384e+18 
9 6.91320526498e+19 1.14445477827e+18 6.90312839387e+19 1.19294626331e+18 6.89997207063e+19 1.14192512287e+18 
10 6.91317493582e+19 1.14715884251e+18 6.90501457058e+19 1.19282490574e+18 6.90195521042e+19 1.1397547187e+18 
11 6.91324988662e+19 1.15252451251e+18 6.90595206006e+19 1.18955756882e+18 6.90418501741e+19 1.14383763365e+18 
12 6.91325520769e+19 1.15677996359e+18 6.90726963131e+19 1.19153376942e+18 6.90556881595e+19 1.14563168142e+18 
13 6.91353083944e+19 1.16122693002e+18 6.90919078105e+19 1.19130034308e+18 6.90742466919e+19 1.14704493368e+18 
14 6.91330228825e+19 1.16699739212e+18 6.91032561683e+19 1.1848837147e+18 6.90928117515e+19 1.14863207838e+18 
15 6.91387043449e+19 1.16419860516e+18 6.91092800243e+19 1.18292766607e+18 6.9109935169e+19 1.14427552219e+18 
16 6.91381226357e+19 1.17020629246e+18 6.91210248223e+19 1.17956681648e+18 6.91234529235e+19 1.14608546586e+18 
17 6.91379048368e+19 1.15795589398e+18 6.91318624841e+19 1.18239424088e+18 6.91447939474e+19 1.15139493977e+18 
18 6.91367817572e+19 1.15238463444e+18 6.91429675481e+19 1.18109407942e+18 6.91674283902e+19 1.15280069302e+18 
19 6.91333668787e+19 1.15119701608e+18 6.91494236339e+19 1.18407629446e+18 6.91869810371e+19 1.15122140199e+18 
20 6.91312625776e+19 1.1475244073e+18 6.9155750372e+19 1.17965199032e+18 6.92099617807e+19 1.15235625969e+18 
21 6.91333150572e+19 1.15029212491e+18 6.91689728679e+19 1.18340504961e+18 6.92339403776e+19 1.15210850533e+18 
22 6.91428038507e+19 1.15328457354e+18 6.9182890474e+19 1.18817702969e+18 6.92549661614e+19 1.15671420285e+18 
23 6.91393260158e+19 1.14811589253e+18 6.92024344461e+19 1.18587405233e+18 6.92745255606e+19 1.15416206698e+18 
24 6.91423975641e+19 1.15145850485e+18 6.92125273372e+19 1.18399492602e+18 6.92961320268e+19 1.15228970755e+18 
25 6.91438072094e+19 1.15612089313e+18 6.92244611636e+19 1.19089999278e+18 6.93167319045e+19 1.15046200121e+18 
26 6.91398362433e+19 1.16145150381e+18 6.92376320849e+19 1.19093894757e+18 6.93374266883e+19 1.15410054649e+18 
27 6.91403963823e+19 1.15522261924e+18 6.92513953198e+19 1.18588001601e+18 6.93577847801e+19 1.15730962825e+18 
28 6.91231017041e+19 1.15231352138e+18 6.92550955723e+19 1.18545338215e+18 6.93764159529e+19 1.15820251632e+18 
29 6.91221437377e+19 1.15669839436e+18 6.92655657507e+19 1.18526837514e+18 6.93987136948e+19 1.15522120864e+18 
30 6.9125901049e+19 1.16036850096e+18 6.92803807964e+19 1.18202715714e+18 6.94183381424e+19 1.15412982711e+18 
31 6.91253834758e+19 1.17082381166e+18 6.92944965062e+19 1.17750074823e+18 6.94401021979e+19 1.1590298172e+18 
32 6.9116690319e+19 1.17647344448e+18 6.93073051082e+19 1.17513628473e+18 6.94589613331e+19 1.15195966895e+18 
33 6.91223542445e+19 1.17298536538e+18 6.93181451741e+19 1.17611445082e+18 6.94816307128e+19 1.1493261318e+18 
34 6.91192834818e+19 1.17178816422e+18 6.93307429969e+19 1.18114243623e+18 6.95027256088e+19 1.1536108791e+18 
35 6.91178092521e+19 1.16570503714e+18 6.93384769689e+19 1.17891826559e+18 6.9519988267e+19 1.15151449354e+18 
36 6.91208540525e+19 1.1671381275e+18 6.93533265326e+19 1.17667306675e+18 6.95420174018e+19 1.15002022208e+18 
37 6.9126850963e+19 1.16330756925e+18 6.93651223891e+19 1.17399433422e+18 6.95610445023e+19 1.15143298832e+18 
