block_number 0.1_avg 0.1_stddev 0.33_avg 0.33_stddev 0.49_avg 0.49_stddev 0.1_expected 0.33_expected 0.49_expected
0 0.980227205227 6.20682224764 4.09020695843 8.72923736924 8.27372870074 12.992407091 0.4 1.32 1.96
1 0.760335244798 2.53503545674 3.45515247434 5.40474610056 6.09746158665 6.18110739089 0.4 1.32 1.96
2 0.544964605825 1.24150055619 2.98780514284 4.19499624303 5.53735087433 4.75646302902 0.4 1.32 1.96
3 0.485457054743 0.953716008683 2.31240677678 2.37169130052 4.95424776636 3.90838111344 0.4 1.32 1.96
4 0.500346769133 0.835296843375 2.255589602 2.12362199389 5.03319697423 3.4500817306 0.4 1.32 1.96
5 0.504500727771 0.773442157777 2.17092140639 1.90562717444 4.87130505158 3.06201551108 0.4 1.32 1.96
6 0.488422198409 0.705277471262 2.21217063798 1.75543536921 4.92863024713 3.14283240094 0.4 1.32 1.96
7 0.470886385635 0.639836802802 2.1256528335 1.49883348526 4.65220819352 2.64985449307 0.4 1.32 1.96
8 0.453184913846 0.535504124953 2.19118244973 1.51144233749 4.55872696533 2.34446379889 0.4 1.32 1.96
9 0.42332590698 0.496844227954 2.09515330692 1.20021864428 4.57953271534 2.26660957684 0.4 1.32 1.96
10 0.453745944692 0.520258097171 2.1545556841 1.16246970156 4.48703303553 2.00559176321 0.4 1.32 1.96
11 0.441915945635 0.469297126867 2.13393648651 1.18153992545 4.47050277392 1.90514559163 0.4 1.32 1.96
12 0.465508475823 0.476212328649 2.14301383539 1.12846600476 4.29780423904 1.62427322793 0.4 1.32 1.96
13 0.463065838144 0.44809593432 2.13507855926 1.01987779483 4.32783770624 1.59714619996 0.4 1.32 1.96
14 0.442146400936 0.419401503067 2.13282417246 1.01757546514 4.23500811495 1.50907477375 0.4 1.32 1.96
15 0.458983649349 0.403513780046 2.08258446335 0.965997358347 4.15937180853 1.39902447441 0.4 1.32 1.96
16 0.468507324411 0.389670294663 2.0380217012 0.911034394409 4.10680330041 1.43911030465 0.4 1.32 1.96
17 0.477336722803 0.395308872026 2.01226774527 0.879414659792 4.09850105354 1.31593943848 0.4 1.32 1.96
18 0.473678639128 0.379127116847 1.9794596964 0.855681598128 4.14752689822 1.30559622855 0.4 1.32 1.96
19 0.476628773612 0.369211799702 2.01806494229 0.848794184489 4.12879822091 1.25483001294 0.4 1.32 1.96
20 0.479785748965 0.358239358308 1.99711706268 0.797506051435 4.15656469655 1.27239107976 0.4 1.32 1.96
21 0.460048348047 0.326146910216 1.99337298705 0.792082700894 4.17189720271 1.23640356614 0.4 1.32 1.96
22 0.473467307511 0.322016298025 1.99764477265 0.772925188185 4.1787047014 1.21817589662 0.4 1.32 1.96
23 0.459597600095 0.306868006848 2.03089941176 0.769806363335 4.14758347888 1.16787066245 0.4 1.32 1.96
24 0.459414491484 0.289363335922 2.03743777983 0.762710765548 4.18636105919 1.17132821189 0.4 1.32 1.96
25 0.457184436821 0.286104752078 2.04849771936 0.719716854496 4.18860767774 1.12254908557 0.4 1.32 1.96
26 0.444789608192 0.28030720131 2.04758314483 0.694798986403 4.2043398272 1.11672515147 0.4 1.32 1.96
27 0.451040389557 0.280517616779 2.06465713443 0.706312674745 4.20388276424 1.09445496574 0.4 1.32 1.96
28 0.448273371516 0.280543105182 2.05167935109 0.670499473799 4.20423477751 1.10066432807 0.4 1.32 1.96
29 0.462572300844 0.282349513032 2.06144563949 0.671613624866 4.20359946147 1.06107943061 0.4 1.32 1.96
30 0.457370994324 0.276747110825 2.06991594926 0.673916448618 4.19636538413 1.03783047996 0.4 1.32 1.96
31 0.453142968307 0.261629548196 2.04116061888 0.64394374882 4.21111851072 1.0266542393 0.4 1.32 1.96
32 0.450678884745 0.258568840036 2.03633334365 0.624079534187 4.17571931457 0.991351811887 0.4 1.32 1.96
33 0.452065175003 0.249503316641 2.04846904575 0.619586730182 4.22274446326 0.997541180758 0.4 1.32 1.96
34 0.445296323011 0.240101571126 2.05008613505 0.614659567061 4.26102114464 0.996946602675 0.4 1.32 1.96
35 0.448440641417 0.241036777639 2.06989205293 0.629919146909 4.21985248774 0.989210327044 0.4 1.32 1.96
36 0.447991285006 0.229087737921 2.07227468303 0.622335277446 4.23688989068 0.987783537084 0.4 1.32 1.96
37 0.449454857628 0.223070387182 2.07341661931 0.60449336377 4.22179254099 0.965070864203 0.4 1.32 1.96
38 0.450429068155 0.225561351053 2.0790763881 0.570953372427 4.20879156206 0.940002682232 0.4 1.32 1.96
39 0.451928603006 0.220713577366 2.08537619987 0.56049708518 4.21529399723 0.918021516557 0.4 1.32 1.96
40 0.45463031399 0.227326772299 2.07515125225 0.543028514215 4.20547494112 0.91487475006 0.4 1.32 1.96
41 0.454058873913 0.225109885644 2.08123407258 0.543939334957 4.21945176183 0.920921135337 0.4 1.32 1.96
42 0.450199247711 0.220352870369 2.08697801121 0.542440961048 4.23173032581 0.885529165262 0.4 1.32 1.96
43 0.447398508358 0.213252435849 2.09941433069 0.544148625932 4.20178646379 0.864365648838 0.4 1.32 1.96
44 0.449196570292 0.217430594723 2.11194476918 0.555736322455 4.18993360238 0.854843243604 0.4 1.32 1.96
45 0.452288367208 0.213013151675 2.11404791056 0.54308580252 4.17903526248 0.810658240978 0.4 1.32 1.96
46 0.448738555752 0.21746003263 2.11526010459 0.550526388544 4.18707314126 0.809046351498 0.4 1.32 1.96
47 0.445310506766 0.212193062079 2.10374659327 0.546605356096 4.19599574236 0.794253372804 0.4 1.32 1.96
48 0.447057780579 0.210398510395 2.09911227877 0.55388204503 4.19515997862 0.791046437655 0.4 1.32 1.96
49 0.445402920131 0.209272842127 2.10272269595 0.543223711052 4.19702473344 0.765162427141 0.4 1.32 1.96
50 0.442927756645 0.205620693532 2.0857147849 0.539273842772 4.19966867988 0.751370869001 0.4 1.32 1.96
51 0.442213269398 0.20700911741 2.08194737168 0.525077112563 4.20584021099 0.741100256368 0.4 1.32 1.96
52 0.437728647925 0.205133332288 2.08545160357 0.516741061884 4.20870342303 0.738149564307 0.4 1.32 1.96
53 0.438060158723 0.197957930446 2.09440975076 0.527974860985 4.20009797808 0.72808974052 0.4 1.32 1.96
54 0.437426440992 0.194803105201 2.09604192822 0.523650668024 4.21391524016 0.729576869288 0.4 1.32 1.96
55 0.42763263833 0.195142876466 2.08433886791 0.532990949584 4.22123505776 0.731519796269 0.4 1.32 1.96
