hash_rate 0.5_avg 0.5_stddev expected_honest
0.0 0.0 0.0 0.0
0.01 0.00990962358057 0.00103790105963 0.01
0.02 0.0195801472911 0.00136688450321 0.02
0.03 0.0293546686167 0.001873068543 0.03
0.04 0.0394745664335 0.00201933031903 0.04
0.05 0.04945480142 0.00216039761773 0.05
0.06 0.0595703413068 0.00260586779397 0.06
0.07 0.069164269086 0.00257130261874 0.07
0.08 0.0795939007806 0.00271597858636 0.08
0.09 0.0898124577255 0.00319599715213 0.09
0.1 0.100317732552 0.00298306612598 0.1
0.11 0.109607807405 0.00329720485783 0.11
0.12 0.120589221715 0.00396841417765 0.12
0.13 0.12990406201 0.00344990536102 0.13
0.14 0.140477384661 0.0037338288681 0.14
0.15 0.150673482352 0.0039880483297 0.15
0.16 0.160874413569 0.00359214019102 0.16
0.17 0.171427986801 0.00352668949851 0.17
0.18 0.182205156169 0.00476223397833 0.18
0.19 0.192138620793 0.00462729516301 0.19
0.2 0.2031353843 0.00426918163435 0.2
0.21 0.213700747565 0.00418956164357 0.21
0.22 0.224268495958 0.00536935819851 0.22
0.23 0.235171800991 0.00472681811173 0.23
0.24 0.245758987377 0.0040698526581 0.24
0.25 0.257005350486 0.00450594176751 0.25
0.26 0.267161101095 0.00443912989084 0.26
0.27 0.278091024003 0.00482275604909 0.27
0.28 0.289224998649 0.00573778743336 0.28
0.29 0.301131506362 0.00467223622042 0.29
0.3 0.312494466274 0.00508623957855 0.3
0.31 0.322781950766 0.00573217204691 0.31
0.32 0.335388542246 0.0059283196512 0.32
0.33 0.348254776382 0.00586823250965 0.33
0.34 0.361068768764 0.00534301654421 0.34
0.35 0.372790436512 0.0060595447207 0.35
0.36 0.387659624206 0.00600683830507 0.36
0.37 0.401708990134 0.00625288662187 0.37
0.38 0.414643837481 0.00687210248837 0.38
0.39 0.427958707197 0.00736055014568 0.39
0.4 0.445125706289 0.00856049559153 0.4
0.41 0.463794730228 0.0082312843788 0.41
0.42 0.481047269877 0.0100392226351 0.42
0.43 0.506034801972 0.0111527819843 0.43
0.44 0.526891607494 0.0135883603977 0.44
0.45 0.559318141787 0.0164150440161 0.45
0.46 0.593714393132 0.0181634033886 0.46
0.47 0.637958115286 0.0234236677214 0.47
0.48 0.693505714581 0.0299070647843 0.48
0.49 0.779314401846 0.0406880874066 0.49
0.5 0.875719556054 0.0455524965483 0.5
