block_number 0.1_avg 0.1_stddev 0.33_avg 0.33_stddev 0.49_avg 0.49_stddev
0 6.89846133403e+19 1.00334372455e+18 6.87149797882e+19 1.10253086367e+18 6.87965929135e+19 1.18107694982e+18 
1 6.89703908445e+19 9.99686282989e+17 6.86968156681e+19 1.10076345935e+18 6.87811374921e+19 1.18203093954e+18 
2 6.89615585492e+19 9.95660587841e+17 6.86791488725e+19 1.10901975886e+18 6.87674380982e+19 1.18712250259e+18 
3 6.89611548e+19 9.92357978072e+17 6.86706184355e+19 1.12186216491e+18 6.8765666548e+19 1.18293462981e+18 
4 6.8950205633e+19 9.81615014509e+17 6.86623472108e+19 1.12994730103e+18 6.87441881152e+19 1.18639212882e+18 
5 6.89477991708e+19 9.79171531949e+17 6.86490218368e+19 1.13600111925e+18 6.87337481984e+19 1.18403177283e+18 
6 6.89401339598e+19 9.85955568436e+17 6.86414526826e+19 1.12656918069e+18 6.87249316057e+19 1.20043556862e+18 
7 6.89423939293e+19 9.80073587227e+17 6.86492852311e+19 1.13476325404e+18 6.87106163128e+19 1.18899572132e+18 
8 6.89488511864e+19 9.85485165877e+17 6.86364717344e+19 1.13187379016e+18 6.87067645874e+19 1.18073388071e+18 
9 6.89481625442e+19 9.85706858081e+17 6.86235576592e+19 1.14184718957e+18 6.86832127998e+19 1.19750456542e+18 
10 6.8948051855e+19 9.78977173789e+17 6.86185347367e+19 1.14328972252e+18 6.86660735728e+19 1.19548278295e+18 
11 6.89453095097e+19 9.76404530187e+17 6.86131889733e+19 1.14532191512e+18 6.86509664411e+19 1.19688284496e+18 
12 6.89390308579e+19 9.86237415708e+17 6.86094641134e+19 1.14418879591e+18 6.8632436896e+19 1.19229223441e+18 
13 6.89305565197e+19 9.83636973647e+17 6.86135056094e+19 1.14626007833e+18 6.86320014612e+19 1.20679910011e+18 
14 6.8918519747e+19 9.90671631036e+17 6.85907330612e+19 1.14849101907e+18 6.86033273612e+19 1.19913314093e+18 
15 6.89061097198e+19 9.9470583042e+17 6.85805712753e+19 1.1436698123e+18 6.86090417511e+19 1.19938934294e+18 
16 6.89053611782e+19 9.90386508047e+17 6.85818610249e+19 1.14170594784e+18 6.85839085859e+19 1.20242474189e+18 
