block_number 0.1_avg 0.1_stddev 0.33_avg 0.33_stddev 0.49_avg 0.49_stddev
0 6.90137077866e+19 1.11660278294e+18 6.88130743234e+19 1.15222023541e+18 6.89974862089e+19 1.11004939658e+18 
1 6.90121306227e+19 1.12412360536e+18 6.88177497166e+19 1.15101231293e+18 6.90063244714e+19 1.11542683003e+18 
2 6.90133752742e+19 1.11867405196e+18 6.88154846982e+19 1.15685393628e+18 6.90111193374e+19 1.12081984769e+18 
3 6.90166781464e+19 1.11530560653e+18 6.88198522592e+19 1.15780483353e+18 6.902569514e+19 1.12674915064e+18 
4 6.90170356204e+19 1.11720814656e+18 6.88327934045e+19 1.14894603269e+18 6.90418553793e+19 1.12630504209e+18 
5 6.9018280198e+19 1.11198380022e+18 6.88406596653e+19 1.15792123157e+18 6.90527512514e+19 1.11271373588e+18 
6 6.90141933342e+19 1.1103534329e+18 6.88415110477e+19 1.14927198462e+18 6.90581868122e+19 1.11637604523e+18 
7 6.90179148885e+19 1.112072614e+18 6.88513384674e+19 1.15502580567e+18 6.90721006141e+19 1.12275296566e+18 
8 6.90148887909e+19 1.11364768497e+18 6.88634089327e+19 1.15401239339e+18 6.90883751122e+19 1.10798096111e+18 
9 6.9020218154e+19 1.11060290187e+18 6.88752984659e+19 1.16141281412e+18 6.90978204117e+19 1.1091119725e+18 
10 6.90063268486e+19 1.10735549961e+18 6.88804731467e+19 1.15042167358e+18 6.91246288142e+19 1.11936642218e+18 
11 6.90036416272e+19 1.10938546809e+18 6.88890164552e+19 1.15867045835e+18 6.91451888247e+19 1.11809729133e+18 
12 6.90090033035e+19 1.10838648005e+18 6.8894771853e+19 1.16215061188e+18 6.91391133458e+19 1.09844733432e+18 
13 6.90103491852e+19 1.10951681672e+18 6.89024247961e+19 1.15768205458e+18 6.91660542861e+19 1.09398115727e+18 
14 6.90164742184e+19 1.11395918339e+18 6.89124674416e+19 1.15572712054e+18 6.91591869822e+19 1.10963158683e+18 
15 6.9021871565e+19 1.11529053839e+18 6.891982774e+19 1.15413315375e+18 6.91718761014e+19 1.12240463939e+18 
16 6.90281362169e+19 1.12842428865e+18 6.89278281678e+19 1.16985074941e+18 6.91966959771e+19 1.11255223545e+18 
17 6.90315367163e+19 1.13129602009e+18 6.89438344302e+19 1.16234502632e+18 6.920109844e+19 1.11405831691e+18 
18 6.90213704151e+19 1.12918901697e+18 6.89570777081e+19 1.15007828332e+18 6.92220995587e+19 1.11829161699e+18 
19 6.90269263944e+19 1.1196246449e+18 6.8967524445e+19 1.15161305123e+18 6.92264374483e+19 1.13684152605e+18 
20 6.90330466756e+19 1.12385579749e+18 6.89773746779e+19 1.1574035616e+18 6.92509871556e+19 1.12939180714e+18 
21 6.90356755963e+19 1.12029886966e+18 6.89866898656e+19 1.1521204797e+18 6.92553852866e+19 1.13135570799e+18 
22 6.90407610825e+19 1.12276303523e+18 6.89980875569e+19 1.14932549333e+18 6.92731925916e+19 1.12537481102e+18 
23 6.90399753213e+19 1.11699171944e+18 6.9006033646e+19 1.14170022576e+18 6.92941442368e+19 1.12429564288e+18 
24 6.90349555828e+19 1.12105415013e+18 6.90169280119e+19 1.1488289911e+18 6.9281641321e+19 1.12619458012e+18 
25 6.90375149782e+19 1.13422294867e+18 6.90288636002e+19 1.1382956843e+18 6.93151288089e+19 1.12570615172e+18 
26 6.90352419084e+19 1.14051493674e+18 6.90450600972e+19 1.13964226313e+18 6.93214910418e+19 1.12232198585e+18 
27 6.90346517479e+19 1.14644279823e+18 6.9055639764e+19 1.14815386783e+18 6.93191681984e+19 1.12921387606e+18 
28 6.90355973886e+19 1.1432360884e+18 6.90583594442e+19 1.15035263865e+18 6.93404291462e+19 1.1249269312e+18 
29 6.90389514191e+19 1.1428002455e+18 6.90691182308e+19 1.14950288606e+18 6.93581062162e+19 1.12984246708e+18 
30 6.90396731405e+19 1.14690883838e+18 6.90771310168e+19 1.14565944597e+18 6.93640952616e+19 1.12468850844e+18 
31 6.90403317244e+19 1.1467215874e+18 6.90945840541e+19 1.14058591343e+18 6.93747818839e+19 1.11556135558e+18 
32 6.90424113266e+19 1.15105933641e+18 6.91014091718e+19 1.14599695601e+18 6.9407377536e+19 1.11904297943e+18 
33 6.90407379324e+19 1.15260614904e+18 6.91162760665e+19 1.14804985411e+18 6.94178565393e+19 1.11992008672e+18 
34 6.90362825164e+19 1.14970641701e+18 6.91265249573e+19 1.13627789927e+18 6.94064253039e+19 1.12780059607e+18 
35 6.90452774856e+19 1.14420269856e+18 6.91322658499e+19 1.13741017444e+18 6.9413571347e+19 1.10892208281e+18 
36 6.90409204728e+19 1.14715941013e+18 6.91450383291e+19 1.13499032921e+18 6.944293529e+19 1.12284901511e+18 
37 6.90439631551e+19 1.14852936883e+18 6.91559394827e+19 1.1416093613e+18 6.94454243021e+19 1.13081232474e+18 
38 6.90430162574e+19 1.15313724582e+18 6.91620412547e+19 1.14408992113e+18 6.9445385667e+19 1.12969611154e+18 
39 6.90412622248e+19 1.15013551063e+18 6.91768024414e+19 1.13826696607e+18 6.94581595585e+19 1.12374017967e+18 
40 6.90423090394e+19 1.15324570693e+18 6.91751370185e+19 1.14104057675e+18 6.94873022322e+19 1.12095939685e+18 
41 6.90422786518e+19 1.15236360169e+18 6.91878201372e+19 1.15252329303e+18 6.94743470204e+19 1.14156330815e+18 
42 6.90469320686e+19 1.14917183913e+18 6.91940357147e+19 1.14161414984e+18 6.95142259681e+19 1.10987197718e+18 
43 6.90471332843e+19 1.14247131983e+18 6.92065446218e+19 1.1433969716e+18 6.95021554975e+19 1.14007869681e+18 
44 6.90485346999e+19 1.14688213303e+18 6.92231363929e+19 1.14586245053e+18 6.95392613036e+19 1.12791691667e+18 
45 6.90579971837e+19 1.14902683872e+18 6.92222952241e+19 1.15707867457e+18 6.95434432958e+19 1.11321902473e+18 
46 6.90547303436e+19 1.15626160966e+18 6.92409155817e+19 1.13898876215e+18 6.95412175633e+19 1.12400141311e+18 
47 6.90518010621e+19 1.16332668725e+18 6.92346127526e+19 1.14789344826e+18 6.95381526771e+19 1.14622055143e+18 
48 6.90570751411e+19 1.15706329359e+18 6.92546328175e+19 1.15227916347e+18 6.95830776229e+19 1.13018468455e+18 
49 6.90543850915e+19 1.15846924547e+18 6.92598079735e+19 1.1398051659e+18 6.95869201243e+19 1.14042986221e+18 
50 6.90555595198e+19 1.16861776727e+18 6.92722493966e+19 1.13577311051e+18 6.95829958951e+19 1.12867170008e+18 
51 6.90608499557e+19 1.16335595104e+18 6.92757370204e+19 1.14434056385e+18 6.95913113228e+19 1.16050911026e+18 
52 6.90646419159e+19 1.16907241196e+18 6.92897886406e+19 1.13462102624e+18 6.96121700066e+19 1.14782471707e+18 
53 6.90612872143e+19 1.17103451308e+18 6.93012813973e+19 1.13445092653e+18 6.95981366136e+19 1.14608518879e+18 
54 6.90605806392e+19 1.17082353403e+18 6.93182060475e+19 1.13546660648e+18 6.96050774934e+19 1.15480210434e+18 
55 6.90685311679e+19 1.16305357734e+18 6.93352172016e+19 1.14154558158e+18 6.96233199801e+19 1.14965840717e+18 
56 6.90587900624e+19 1.16630535414e+18 6.93378313598e+19 1.13671287483e+18 6.96510734904e+19 1.11806459643e+18 
57 6.90560214197e+19 1.16329091372e+18 6.93431232995e+19 1.13200530556e+18 6.96428650721e+19 1.13904692903e+18 
58 6.90605733529e+19 1.1741317233e+18 6.93454858459e+19 1.13244639555e+18 6.9660835427e+19 1.13681242529e+18 
59 6.90543902448e+19 1.16828148386e+18 6.93575921087e+19 1.14614397274e+18 6.96887988149e+19 1.11769659864e+18 
60 6.90508494409e+19 1.17933213644e+18 6.93712000576e+19 1.13071082585e+18 6.96582106917e+19 1.14634727425e+18 
61 6.90549555851e+19 1.18380034028e+18 6.9372773903e+19 1.12627926725e+18 6.96945133153e+19 1.1411338897e+18 
62 6.90590049797e+19 1.18455698433e+18 6.93761506844e+19 1.12587930002e+18 6.96831966803e+19 1.1388504363e+18 
