block_number 0.1_avg 0.1_stddev 0.33_avg 0.33_stddev 0.49_avg 0.49_stddev 0.1_expected 0.33_expected 0.49_expected
0 0.609043820325 1.92143404881 1.52245403514 2.7217647869 4.40144135689 6.37637125602 0.4 1.32 1.96
1 0.743892776264 1.96479515356 1.99588632047 2.76866891402 5.73798892822 6.08916104886 0.4 1.32 1.96
2 0.451432516777 0.963766436817 1.79026127167 2.29295668721 4.44836605302 3.48009246025 0.4 1.32 1.96
3 0.394502964376 0.75774598176 1.83812792826 1.97403081651 4.32065277596 3.04009062809 0.4 1.32 1.96
4 0.476442740815 0.790960312676 1.93090446938 1.76794567509 4.09034978639 2.41280210121 0.4 1.32 1.96
5 0.444967556558 0.670769902539 1.93127193826 1.53251913571 4.13947916933 2.34571163745 0.4 1.32 1.96
6 0.428344700624 0.596448618038 1.9083785452 1.42042606781 3.96640681257 2.20078676519 0.4 1.32 1.96
7 0.404580791712 0.551936906282 1.88718213776 1.32849928083 4.17546625295 2.01256701029 0.4 1.32 1.96
8 0.429699454422 0.496652874466 1.92998702103 1.28047310599 4.19418290455 1.90112361697 0.4 1.32 1.96
9 0.451337691089 0.483834382736 1.9607888733 1.24303014533 4.04312283478 1.85313780864 0.4 1.32 1.96
10 0.468328485621 0.456170583342 1.91444074811 1.18658232308 4.09626278295 1.72482683184 0.4 1.32 1.96
11 0.470671508473 0.467832621356 1.8519695476 1.07451905475 4.10541576133 1.72724230519 0.4 1.32 1.96
12 0.45419523461 0.452814510994 1.84575786256 1.05169194045 4.14509157933 1.68929960374 0.4 1.32 1.96
13 0.441333213849 0.448380304557 1.84670153364 1.0556170029 4.06868443706 1.51691509939 0.4 1.32 1.96
14 0.431977447966 0.42199070385 1.83989185713 0.947067555358 4.06569040753 1.45164074002 0.4 1.32 1.96
15 0.419563262091 0.430180054856 1.83462760751 0.905459370261 4.04426722638 1.47066884001 0.4 1.32 1.96
16 0.425139581884 0.429978935542 1.85897182805 0.877721286877 4.04918510502 1.42388766717 0.4 1.32 1.96
17 0.406941840394 0.383603368103 1.87714625186 0.815863488892 4.07417524439 1.42772434795 0.4 1.32 1.96
18 0.390266830172 0.354038013094 1.85307855523 0.790437571654 4.06203098236 1.4414808951 0.4 1.32 1.96
19 0.388666629656 0.361611771694 1.86382940405 0.803480173163 4.06496635417 1.38398426148 0.4 1.32 1.96
20 0.400845602624 0.37343245754 1.89721943352 0.791008299221 4.01884410131 1.29457941893 0.4 1.32 1.96
21 0.399152368173 0.35834440023 1.86182323498 0.753249791261 3.98160518158 1.21118720519 0.4 1.32 1.96
22 0.40119283528 0.344428645763 1.88931426645 0.781896659779 4.00956268951 1.15042985186 0.4 1.32 1.96
23 0.404116864653 0.338937731013 1.88191378506 0.775767586825 3.99742863445 1.11531042782 0.4 1.32 1.96
24 0.408495439338 0.339050089489 1.87160107862 0.770083349964 3.99154016359 1.09140928022 0.4 1.32 1.96
25 0.406644694526 0.319691526766 1.85909087662 0.75946730072 3.9971446764 1.04971130355 0.4 1.32 1.96
26 0.406492992711 0.310847761737 1.87196517508 0.753409638716 3.976683863 1.02932384041 0.4 1.32 1.96
27 0.401432751462 0.273047251955 1.89190015544 0.745071303504 3.98681536609 1.03315277436 0.4 1.32 1.96
28 0.396359899389 0.263823385656 1.89072264715 0.727913880641 4.00424650208 1.01455213584 0.4 1.32 1.96
29 0.393353378144 0.262752533938 1.86744500407 0.73221221124 3.96949154668 0.983028305394 0.4 1.32 1.96
30 0.395498738179 0.258903859784 1.88500753323 0.704309482422 3.9940117931 0.937593130164 0.4 1.32 1.96
31 0.401536983662 0.264194760401 1.87814286935 0.709526789602 4.0107830727 0.93347389045 0.4 1.32 1.96
32 0.407220546095 0.271213399554 1.86545680202 0.690772017151 4.04023401779 0.908371508477 0.4 1.32 1.96
33 0.412185073863 0.267166413802 1.87767827295 0.687659345655 4.02956049328 0.88846520042 0.4 1.32 1.96
34 0.411817895002 0.252995075779 1.89901179654 0.675318825112 4.00229769979 0.893312243943 0.4 1.32 1.96
35 0.408309524978 0.254135061175 1.89591254547 0.67072375747 4.00291333624 0.875334794749 0.4 1.32 1.96
36 0.40082425791 0.250029776334 1.88922798135 0.663420577073 4.0101343038 0.873315926676 0.4 1.32 1.96
37 0.401025596272 0.238490549415 1.89736842196 0.654647361991 4.02264092844 0.891759327669 0.4 1.32 1.96
38 0.403291767526 0.232548964929 1.90078111895 0.645166555376 4.02493864832 0.886598141164 0.4 1.32 1.96
39 0.401397654851 0.227269386391 1.90961861979 0.632048597878 4.05362069472 0.874919987623 0.4 1.32 1.96
40 0.398712123097 0.220753647001 1.90669577353 0.62273741367 4.05497856627 0.867278651464 0.4 1.32 1.96
41 0.391359325326 0.21726781657 1.9092922315 0.629056383806 4.02715565424 0.858503001009 0.4 1.32 1.96
42 0.393489006492 0.213457524508 1.89422087601 0.621660993948 4.01536416575 0.814206556404 0.4 1.32 1.96
43 0.390530338673 0.214185268314 1.90554966954 0.616777655479 4.01047389152 0.806742728495 0.4 1.32 1.96
44 0.395105087969 0.210460243314 1.89070837569 0.603151340914 4.02967694039 0.78002625022 0.4 1.32 1.96
45 0.396306051652 0.209373969205 1.89497571648 0.585907467983 4.01638014038 0.793938392341 0.4 1.32 1.96
46 0.397615948146 0.205769049796 1.89533197501 0.574177520601 3.99856736812 0.794468651772 0.4 1.32 1.96
47 0.393617215572 0.20576993718 1.89948207007 0.570118587691 3.99102832498 0.768780673996 0.4 1.32 1.96
48 0.394320384309 0.202151159981 1.89144722748 0.556256767654 3.98948756839 0.763414503846 0.4 1.32 1.96
49 0.397274064153 0.207684725499 1.88992683392 0.554285246399 3.99802212106 0.76075603919 0.4 1.32 1.96
50 0.395498337459 0.205712883248 1.8796653804 0.546007636608 4.00173136531 0.758411644433 0.4 1.32 1.96
51 0.399000824177 0.192245325081 1.88357073815 0.537207996712 3.99269118772 0.745419845506 0.4 1.32 1.96
52 0.399080907629 0.193389715123 1.892184756 0.514808411351 3.98551104054 0.728180749459 0.4 1.32 1.96
53 0.388114931452 0.191196195868 1.90151209786 0.51321172416 3.97903145257 0.715620371716 0.4 1.32 1.96
54 0.380164613463 0.188734516469 1.88849680189 0.509864787035 3.99193215588 0.712342699644 0.4 1.32 1.96
55 0.382855049552 0.183917398358 1.88806817385 0.488285486767 3.99827721911 0.698728512006 0.4 1.32 1.96
56 0.380630564112 0.187467648152 1.88263616385 0.485561672846 4.00826153149 0.682781657341 0.4 1.32 1.96
57 0.375741670223 0.185031232461 1.89299171157 0.476268112511 4.00365596001 0.666429968399 0.4 1.32 1.96
