block_number 0.1_avg 0.1_stddev 0.33_avg 0.33_stddev 0.49_avg 0.49_stddev
0 6.03643183531e+20 2.29274665722e+19 6.00820754528e+20 2.52230592052e+19 6.04833493851e+20 2.50385294473e+19 
1 6.03446688647e+20 2.2990625064e+19 6.00721216379e+20 2.51812711175e+19 6.04805799212e+20 2.49647586512e+19 
2 6.03621600066e+20 2.29687710461e+19 6.00753534296e+20 2.50552310284e+19 6.04657712557e+20 2.47927731512e+19 
3 6.03716301146e+20 2.29180451152e+19 6.0065843723e+20 2.52324705233e+19 6.04349165806e+20 2.47423133826e+19 
4 6.03745026588e+20 2.27561096624e+19 6.00749714812e+20 2.54306741144e+19 6.04214486976e+20 2.45699792473e+19 
5 6.03678303056e+20 2.30610494773e+19 6.00661244039e+20 2.5454019069e+19 6.04054805074e+20 2.45088745846e+19 
6 6.03718550759e+20 2.30315001687e+19 6.00651404165e+20 2.54224532571e+19 6.04230657423e+20 2.43598657644e+19 
7 6.03764995259e+20 2.31637420189e+19 6.00501391171e+20 2.52628037416e+19 6.04429737234e+20 2.44113998799e+19 
8 6.04024687211e+20 2.32589936827e+19 6.0039514298e+20 2.52076538145e+19 6.04470498578e+20 2.44666493041e+19 
9 6.0395837885e+20 2.32785007778e+19 6.00215017423e+20 2.52453125202e+19 6.04257591947e+20 2.45590023799e+19 
10 6.03955744326e+20 2.32643730916e+19 6.00163632906e+20 2.5422014187e+19 6.04359021354e+20 2.45054037368e+19 
11 6.04000413905e+20 2.32339646446e+19 5.99957453786e+20 2.53842654023e+19 6.04580022696e+20 2.47746025148e+19 
12 6.03884291719e+20 2.31726343841e+19 6.00101530163e+20 2.5532226439e+19 6.04854077616e+20 2.44969060585e+19 
13 6.03967524687e+20 2.30987483802e+19 6.00001997658e+20 2.58275560405e+19 6.04895163403e+20 2.47995939735e+19 
14 6.03944500064e+20 2.30621758781e+19 5.99880535265e+20 2.57575900665e+19 6.04870275862e+20 2.47470217614e+19 
15 6.03774212944e+20 2.30637777873e+19 6.00024781768e+20 2.55988246632e+19 6.04569663241e+20 2.47995639389e+19 
16 6.03637607565e+20 2.30203892733e+19 6.0010249976e+20 2.57132843208e+19 6.04598033138e+20 2.4659053685e+19 
17 6.03702576001e+20 2.3270396284e+19 6.00125838236e+20 2.56987113568e+19 6.04350021973e+20 2.46655382764e+19 
18 6.03786098574e+20 2.34499999857e+19 6.00077831915e+20 2.58517520542e+19 6.04507112597e+20 2.45221467024e+19 
19 6.03913573344e+20 2.34950418629e+19 6.00153602158e+20 2.57271305255e+19 6.04679229741e+20 2.45626433605e+19 
20 6.03870019944e+20 2.32922354432e+19 6.00126180191e+20 2.55803568029e+19 6.04809914652e+20 2.46060963374e+19 
21 6.03711063471e+20 2.31036530255e+19 6.00095638564e+20 2.56330543016e+19 6.04940631337e+20 2.45155830856e+19 
22 6.03659539502e+20 2.28823307071e+19 5.99849463336e+20 2.53389842949e+19 6.04871523946e+20 2.47255537282e+19 
23 6.03542260472e+20 2.30353589562e+19 5.99921114406e+20 2.52474171358e+19 6.04848300044e+20 2.48816051645e+19 
24 6.03610864258e+20 2.29832390748e+19 5.99831478402e+20 2.51887619903e+19 6.04938308645e+20 2.47973878971e+19 
25 6.03520826503e+20 2.31658840019e+19 5.99631523867e+20 2.51398369543e+19 6.05174252093e+20 2.4816639334e+19 
26 6.03666991475e+20 2.30018777311e+19 5.99581124359e+20 2.52318422663e+19 6.05100095166e+20 2.49247936745e+19 
27 6.035526111e+20 2.29635324729e+19 5.99913806204e+20 2.54131671404e+19 6.05112837757e+20 2.50308031452e+19 
28 6.03314143932e+20 2.28587869413e+19 5.99807277889e+20 2.52887244971e+19 6.05054024065e+20 2.51604045522e+19 
29 6.03372207794e+20 2.29733095375e+19 5.99742359893e+20 2.5499714226e+19 6.05274774393e+20 2.50670280283e+19 
30 6.03211754533e+20 2.29871254743e+19 5.99477622919e+20 2.56175316103e+19 6.04973165091e+20 2.47670395483e+19 
31 6.03098132471e+20 2.29193208359e+19 5.99347755407e+20 2.56908691325e+19 6.04997436707e+20 2.47763906488e+19 
32 6.03315975416e+20 2.30928054447e+19 5.99096700462e+20 2.54343615184e+19 6.05031788285e+20 2.48387562844e+19 
33 6.03520669486e+20 2.30704470784e+19 5.9915599054e+20 2.52423442315e+19 6.04950974325e+20 2.47891738538e+19 
34 6.03687258148e+20 2.29540537529e+19 5.99083184046e+20 2.51574967342e+19 6.05215118362e+20 2.50008131041e+19 
35 6.0369252892e+20 2.30542281836e+19 5.99143083055e+20 2.54375830738e+19 6.05311593805e+20 2.48505173388e+19 
36 6.03471076175e+20 2.31100091243e+19 5.99073020313e+20 2.57326648669e+19 6.05111042332e+20 2.50722702287e+19 
37 6.03562411176e+20 2.30801269768e+19 5.990736832e+20 2.57473025451e+19 6.04835465714e+20 2.46471122053e+19 
38 6.03636717019e+20 2.32333613675e+19 5.99085435706e+20 2.58871801869e+19 6.04687868774e+20 2.46380186096e+19 
39 6.03666403459e+20 2.32488732021e+19 5.9911197755e+20 2.54884625957e+19 6.04429951224e+20 2.45891593485e+19 
40 6.03498903243e+20 2.32736311489e+19 5.98911254769e+20 2.54983546659e+19 6.04280860592e+20 2.47740955511e+19 
41 6.03372101532e+20 2.32842865658e+19 5.9882884372e+20 2.56619814727e+19 6.04330079162e+20 2.45222655536e+19 
42 6.03513025505e+20 2.34486999379e+19 5.98828781244e+20 2.55497124841e+19 6.0449249268e+20 2.41224234716e+19 
43 6.0316548601e+20 2.35969347274e+19 5.98628841298e+20 2.55218950531e+19 6.04598085423e+20 2.39322906139e+19 
44 6.03261783852e+20 2.35027757246e+19 5.98448649022e+20 2.54530052275e+19 6.04377464711e+20 2.40704061183e+19 
