hash_rate 0.0_avg 0.0_stddev expected_honest
0.0 0.0 0.0 0.0
0.01 0.000245271455799 0.000180680480518 0.005
0.02 0.000796181141847 0.000335525308403 0.01
0.03 0.0016737092129 0.000416313013595 0.015
0.04 0.00292348203093 0.000654299005092 0.02
0.05 0.00457228303537 0.000852739285439 0.025
0.06 0.00657902486837 0.000921697766175 0.03
0.07 0.00906303716321 0.00117317643172 0.035
0.08 0.0115830513758 0.00132412093551 0.04
0.09 0.0146257265868 0.00131518159927 0.045
0.1 0.0177197435277 0.00145300863125 0.05
0.11 0.0214045090783 0.00147867396787 0.055
0.12 0.0252522268955 0.00180267074733 0.06
0.13 0.0289244580406 0.00180010822526 0.065
0.14 0.0332946406464 0.0021312111666 0.07
0.15 0.0374966688009 0.00197689407395 0.075
0.16 0.0424228137281 0.00222355363023 0.08
0.17 0.0478545974703 0.00242060600681 0.085
0.18 0.0533415444169 0.00283089687948 0.09
0.19 0.0589822366768 0.00264454614973 0.095
0.2 0.0650546187951 0.00274386844086 0.1
0.21 0.0710939122774 0.00292063964257 0.105
0.22 0.0770599798688 0.00324228107887 0.11
0.23 0.0837514495562 0.00330105238049 0.115
0.24 0.0905447588718 0.00360286366499 0.12
0.25 0.0975854543798 0.00353410974449 0.125
0.26 0.104973790329 0.00397011902305 0.13
0.27 0.112549579401 0.00344027158293 0.135
0.28 0.120674190525 0.00390075301756 0.14
0.29 0.12878897686 0.00415153817718 0.145
0.3 0.137133326907 0.00460882553412 0.15
0.31 0.145410052644 0.00437940716968 0.155
0.32 0.154516075471 0.00474165143861 0.16
0.33 0.163534300694 0.00449919437617 0.165
0.34 0.173664549152 0.00510630392258 0.17
0.35 0.183600738827 0.00512871521146 0.175
0.36 0.194507439286 0.0054226279575 0.18
0.37 0.205304756366 0.00520194026701 0.185
0.38 0.216241873823 0.00581475579776 0.19
0.39 0.229535043265 0.00652589165707 0.195
0.4 0.243606713824 0.0055295401321 0.2
0.41 0.255876350919 0.00662485905598 0.205
0.42 0.271109420832 0.00743063072275 0.21
0.43 0.28794363179 0.00706332439277 0.215
0.44 0.306248194826 0.0092583876201 0.22
0.45 0.325682266174 0.0103538036553 0.225
0.46 0.349849508579 0.0122630543232 0.23
0.47 0.377176628938 0.0145717254498 0.235
0.48 0.406381033182 0.0145055082683 0.24
0.49 0.444985008283 0.016238915711 0.245
0.5 0.482029414145 0.0135621439599 0.25
