hash_rate 1.0_avg 1.0_stddev expected_honest
0.0 0.0 0.0 0.0
0.01 0.0101004464286 0.00112558978527 0.01
0.02 0.0202442956349 0.00163600028748 0.02
0.03 0.0309138986681 0.00185398987584 0.03
0.04 0.0414161706349 0.00240869129102 0.04
0.05 0.0526264222857 0.00263688752793 0.05
0.06 0.0639632936508 0.00320684619717 0.06
0.07 0.0745300099206 0.00325598157861 0.07
0.08 0.0863814484127 0.00315946232049 0.08
0.09 0.0976561308355 0.00353771434612 0.09
0.1 0.109210903937 0.00440950144811 0.1
0.11 0.121565908143 0.00430412936354 0.11
0.12 0.133583515425 0.00406579057308 0.12
0.13 0.145052791708 0.00416636836685 0.13
0.14 0.158599356881 0.00461258767414 0.14
0.15 0.170499708883 0.00453804422763 0.15
0.16 0.183393649933 0.00460481094521 0.16
0.17 0.19522797462 0.00546658309376 0.17
0.18 0.208601649605 0.00549532566298 0.18
0.19 0.222452193468 0.00520420950077 0.19
0.2 0.235791603164 0.0058102715843 0.2
0.21 0.249216584128 0.00543282563957 0.21
0.22 0.26180842413 0.00674274236969 0.22
0.23 0.276038048933 0.00592559077584 0.23
0.24 0.289919306263 0.00584428486532 0.24
0.25 0.30430233978 0.0061973147248 0.25
0.26 0.319288341113 0.00651038327945 0.26
0.27 0.334072471167 0.00782668258499 0.27
0.28 0.350216116963 0.0071033351143 0.28
0.29 0.365120351988 0.00699620824484 0.29
0.3 0.380287245641 0.00719039633074 0.3
0.31 0.396071732031 0.00668629615394 0.31
0.32 0.413142308935 0.00727658727875 0.32
0.33 0.429610778233 0.0083423836882 0.33
0.34 0.449553872911 0.00862744105148 0.34
0.35 0.465537105747 0.00901231139708 0.35
0.36 0.483684687176 0.0086148759351 0.36
0.37 0.503955615415 0.00910500341565 0.37
0.38 0.52375489533 0.0103542225429 0.38
0.39 0.544802983447 0.0106519036388 0.39
0.4 0.565269631064 0.00875883535613 0.4
0.41 0.591788077911 0.0106166412655 0.41
0.42 0.617469404942 0.0121292812337 0.42
0.43 0.642490647504 0.0134754376917 0.43
0.44 0.674740894286 0.0133006907119 0.44
0.45 0.709477035263 0.0170771592788 0.45
0.46 0.747991862405 0.0194529999277 0.46
0.47 0.792714894673 0.0208200649566 0.47
0.48 0.845277030662 0.0242187153704 0.48
0.49 0.909105658637 0.0278009710907 0.49
0.5 0.971606122706 0.0209688907864 0.5
