block_number 0.1_avg 0.1_stddev 0.33_avg 0.33_stddev 0.49_avg 0.49_stddev
0 6.0424234046e+20 2.62686336876e+19 6.0185712907e+20 2.34856414911e+19 5.9903680239e+20 2.38525944785e+19 
1 6.04109599441e+20 2.64178012322e+19 6.01637782868e+20 2.365148835e+19 5.99071533732e+20 2.38881452263e+19 
2 6.04013880103e+20 2.63258457883e+19 6.01605450168e+20 2.37038316075e+19 5.9905103645e+20 2.42089230693e+19 
3 6.04011438045e+20 2.65737228269e+19 6.01759352978e+20 2.36417446307e+19 5.9914563518e+20 2.391898794e+19 
4 6.0387783978e+20 2.65526348588e+19 6.0181715331e+20 2.37657674155e+19 5.99096458506e+20 2.40796674996e+19 
5 6.0400648039e+20 2.65546898805e+19 6.01764395789e+20 2.36726384025e+19 5.9890243629e+20 2.3828507442e+19 
6 6.04059343583e+20 2.65211439402e+19 6.01705627685e+20 2.3601334185e+19 5.99061252587e+20 2.41104269599e+19 
7 6.04228110749e+20 2.64384957946e+19 6.01567562749e+20 2.37847802262e+19 5.9910610223e+20 2.41324042493e+19 
8 6.04301326252e+20 2.66491161539e+19 6.01435511464e+20 2.36718452289e+19 5.99114749648e+20 2.4182775455e+19 
9 6.04473967103e+20 2.67574804784e+19 6.01393949609e+20 2.36032297722e+19 5.98947423313e+20 2.4328971386e+19 
10 6.04336404205e+20 2.6704446756e+19 6.01554076386e+20 2.35594750473e+19 5.98993390454e+20 2.42659097603e+19 
11 6.04367328313e+20 2.67349202435e+19 6.01532723534e+20 2.35244847404e+19 5.99078143405e+20 2.45419493637e+19 
12 6.04461443194e+20 2.67697831762e+19 6.01792411925e+20 2.35047861457e+19 5.98978384092e+20 2.44629836541e+19 
13 6.04563827704e+20 2.69114112082e+19 6.01576612749e+20 2.3902269312e+19 5.99154773887e+20 2.44400025058e+19 
14 6.04824680712e+20 2.68522685213e+19 6.01444821754e+20 2.38230711764e+19 5.99252484425e+20 2.43333168806e+19 
15 6.04968513971e+20 2.68133563954e+19 6.0170608766e+20 2.3988061108e+19 5.99126280121e+20 2.4064385881e+19 
16 6.05094740158e+20 2.70310762185e+19 6.01923509325e+20 2.3930361594e+19 5.99122664829e+20 2.43903503947e+19 
17 6.05061692364e+20 2.71521369976e+19 6.01849298152e+20 2.38077274612e+19 5.99324206496e+20 2.4422710876e+19 
18 6.05185481871e+20 2.70256502041e+19 6.01806863927e+20 2.40075675354e+19 5.99267254955e+20 2.41694148488e+19 
19 6.05159364676e+20 2.70107470177e+19 6.01741599897e+20 2.4041134212e+19 5.9909976993e+20 2.43725284711e+19 
20 6.0522992013e+20 2.69549468678e+19 6.01862262214e+20 2.41516336899e+19 5.99467865728e+20 2.418935991e+19 
21 6.05222124369e+20 2.67929036161e+19 6.01733886978e+20 2.43084076286e+19 5.99573894744e+20 2.44564725855e+19 
22 6.05375608764e+20 2.66628537879e+19 6.01799575907e+20 2.41874844907e+19 5.99346345482e+20 2.41782391842e+19 
23 6.05437347599e+20 2.68353982828e+19 6.01995554984e+20 2.4251827275e+19 5.99120887823e+20 2.43819541832e+19 
