block_number 0.1_avg 0.1_stddev 0.33_avg 0.33_stddev 0.49_avg 0.49_stddev
0 6.00878666912e+20 2.48218279778e+19 6.02389100828e+20 2.40225781573e+19 6.0373338473e+20 2.44492753689e+19 
1 6.00828811368e+20 2.45278393204e+19 6.02150598187e+20 2.39487116146e+19 6.03799519585e+20 2.42801387223e+19 
2 6.00700574042e+20 2.44421069749e+19 6.02405229526e+20 2.41900576038e+19 6.03947228289e+20 2.42661976163e+19 
3 6.00814042194e+20 2.44399972363e+19 6.02605382325e+20 2.40354177261e+19 6.04126054928e+20 2.4253515537e+19 
4 6.00839722229e+20 2.46643843828e+19 6.02528998422e+20 2.40833584953e+19 6.04029942347e+20 2.43244590809e+19 
5 6.01084260049e+20 2.464223447e+19 6.0242900445e+20 2.43120311049e+19 6.04051907179e+20 2.44450904286e+19 
6 6.00962590438e+20 2.47088893868e+19 6.02343626383e+20 2.38492793107e+19 6.04167540922e+20 2.43003715035e+19 
7 6.01000203954e+20 2.47184204669e+19 6.02266292349e+20 2.40767018537e+19 6.04055851484e+20 2.39965680251e+19 
8 6.00813199487e+20 2.43638334707e+19 6.02181343502e+20 2.40941924021e+19 6.04057129946e+20 2.41496464284e+19 
9 6.00902742465e+20 2.44369021629e+19 6.02128897332e+20 2.40536944814e+19 6.04185160172e+20 2.44882865734e+19 
10 6.00608580134e+20 2.41247765158e+19 6.01918941778e+20 2.366235349e+19 6.03986415606e+20 2.40804313118e+19 
11 6.00657822616e+20 2.42342192739e+19 6.02104437912e+20 2.39342788191e+19 6.04438098268e+20 2.41362176893e+19 
12 6.00688506371e+20 2.45306452997e+19 6.02246203878e+20 2.40665092153e+19 6.04050408931e+20 2.42268798303e+19 
13 6.00703527627e+20 2.48209979756e+19 6.02248398712e+20 2.39027808721e+19 6.04151300568e+20 2.43839633023e+19 
14 6.00994951839e+20 2.51352394974e+19 6.02293137473e+20 2.38104170735e+19 6.04261336847e+20 2.46827984642e+19 
15 6.01063039064e+20 2.50844656116e+19 6.0227145648e+20 2.38847239994e+19 6.04203795768e+20 2.45470651086e+19 
16 6.00965800174e+20 2.46973356983e+19 6.02446272577e+20 2.39306031067e+19 6.03906127025e+20 2.46844738197e+19 
17 6.01312195719e+20 2.46337650612e+19 6.02686126282e+20 2.39043666123e+19 6.04313021333e+20 2.49186423803e+19 
18 6.01267025964e+20 2.43540808168e+19 6.02438827908e+20 2.39300759584e+19 6.0453357367e+20 2.4560485248e+19 
19 6.01279515587e+20 2.43603366001e+19 6.02516764058e+20 2.40353222128e+19 6.04324350217e+20 2.4695045245e+19 
