block_number 0.1_avg 0.1_stddev 0.33_avg 0.33_stddev 0.49_avg 0.49_stddev 0.1_expected 0.33_expected 0.49_expected
0 0.0727456533853 0.264359115166 0.16207888538 0.308337210131 0.431635483857 0.907060000114 0.05 0.165 0.245
1 0.11877876648 0.40289992556 0.24324826833 0.315966536129 0.624275186525 0.99585993636 0.05 0.165 0.245
2 0.0893219794479 0.379518041488 0.200659957412 0.265588939952 0.539612491017 0.743344270585 0.05 0.165 0.245
3 0.0441285833009 0.10914475177 0.217291441198 0.29293524907 0.451270048716 0.430336167231 0.05 0.165 0.245
4 0.0458204720851 0.110979813709 0.217874065452 0.274932276015 0.453500903439 0.393493674025 0.05 0.165 0.245
5 0.0357078157012 0.0746435250627 0.207689111793 0.19294195581 0.430108165016 0.328017666418 0.05 0.165 0.245
6 0.0315499586353 0.0589223930991 0.195849113999 0.179211539433 0.425853175128 0.275803130539 0.05 0.165 0.245
7 0.0302127008409 0.0566437383502 0.185268179464 0.166715266351 0.430513540858 0.266434095114 0.05 0.165 0.245
8 0.0267384464518 0.0530419429217 0.194383142207 0.153405503813 0.428258218319 0.244495723403 0.05 0.165 0.245
9 0.0225668759616 0.0435883871167 0.195539562711 0.145827224269 0.44061537923 0.222691414225 0.05 0.165 0.245
10 0.0209530193305 0.0398607197013 0.194031677827 0.128176518169 0.446165632083 0.214723367938 0.05 0.165 0.245
11 0.0234743774449 0.0378181952858 0.1938453318 0.124422587917 0.451962190187 0.206647589004 0.05 0.165 0.245
12 0.0258424372735 0.0394496431231 0.191663567541 0.125221238731 0.450297427816 0.204308712075 0.05 0.165 0.245
13 0.0231828294195 0.037923931481 0.192970253177 0.11886654598 0.454141479144 0.206897143031 0.05 0.165 0.245
14 0.0230074645212 0.0363132849571 0.187160407137 0.110313972987 0.458260096058 0.197102823996 0.05 0.165 0.245
15 0.023672047007 0.0362522641416 0.188997674806 0.10772082334 0.453925995197 0.192423746074 0.05 0.165 0.245
16 0.0224762417822 0.0357584713628 0.187549432341 0.103584649936 0.45688670385 0.187709387005 0.05 0.165 0.245
17 0.0226778158448 0.0373530167818 0.188328764889 0.100224657701 0.458033613774 0.186856339269 0.05 0.165 0.245
18 0.0221844422463 0.0357032471253 0.18529155717 0.095662962559 0.454879293774 0.176289811573 0.05 0.165 0.245
19 0.023159350377 0.0338311171258 0.185789211348 0.0989870009583 0.44928998308 0.167343423735 0.05 0.165 0.245
20 0.0231423230668 0.032504743729 0.184373600885 0.0935745517911 0.451045169491 0.16704029024 0.05 0.165 0.245
21 0.0219672876101 0.0315191089988 0.186201767797 0.0968558370118 0.448288927599 0.168338035703 0.05 0.165 0.245
22 0.0217953251314 0.0298205032975 0.185134205638 0.0972510104322 0.44905827472 0.164047057858 0.05 0.165 0.245
23 0.0226690836169 0.0283124882788 0.185442100674 0.0977268394858 0.445412065586 0.163260296237 0.05 0.165 0.245
24 0.0223377201877 0.0275937419739 0.186489561739 0.0952903073242 0.446772740988 0.154296741042 0.05 0.165 0.245
25 0.0223052021553 0.0267457619549 0.187451275353 0.0913099696157 0.448273710194 0.14953232203 0.05 0.165 0.245
26 0.0217213917144 0.0262157429787 0.192409858939 0.0915721039206 0.444126128664 0.143225640461 0.05 0.165 0.245
27 0.0219170794428 0.0253901037727 0.190041500783 0.0916755822226 0.445800758367 0.139364741825 0.05 0.165 0.245
28 0.0229475048423 0.0261222345633 0.189650376837 0.0909148145265 0.447579269279 0.138199825589 0.05 0.165 0.245
29 0.0233357734898 0.0261978478806 0.189532537497 0.0874881686896 0.442911968002 0.136601211462 0.05 0.165 0.245
30 0.0218784731544 0.0249957958255 0.190375107859 0.0843014956097 0.436973597179 0.134206161829 0.05 0.165 0.245
31 0.0210685988815 0.0230831931753 0.193176418492 0.0820426339624 0.438548029089 0.133289755389 0.05 0.165 0.245
32 0.0207750125923 0.0229088643482 0.192705800503 0.0799778239181 0.439546309023 0.128607886518 0.05 0.165 0.245
33 0.0197730408928 0.0226509172411 0.190863563002 0.0797068621087 0.439343870948 0.131409848987 0.05 0.165 0.245
34 0.0202111932706 0.0212124485795 0.189257897607 0.0788565289936 0.43734089915 0.127347209627 0.05 0.165 0.245
