block_number 0.1_avg 0.1_stddev 0.33_avg 0.33_stddev 0.49_avg 0.49_stddev expected
0 2.30483333333 2.38875873741 2.0695 2.19343725058 2.22133333333 2.60208151721 2.0
1 2.33966666667 2.657451557 1.65533333333 1.60781749932 1.8385 1.93586858915 2.0
2 1.99183333333 1.7932132782 1.799 1.91158575824 1.92566666667 1.82500444444 2.0
3 1.849 1.96956681645 2.13333333333 1.86502755416 1.95333333333 2.0367103105 2.0
4 1.7255 1.92053733077 1.98283333333 1.72763559526 2.04516666667 1.99363751163 2.0
5 2.18683333333 1.99989901828 2.16383333333 2.91181888078 2.41516666667 1.95662705099 2.0
6 1.92933333333 1.89791569887 2.10766666667 1.8134412039 2.1415 2.10189398057 2.0
7 1.5255 1.49266996985 1.7485 1.59207253987 2.0955 2.50603034366 2.0
8 2.78683333333 2.2588151946 2.10983333333 2.06051381807 1.6615 1.55996384395 2.0
9 2.0915 1.80044823894 1.99116666667 2.36444785074 1.73333333333 1.4207978979 2.0
10 2.10733333333 1.98280009638 2.1215 2.05551871664 2.079 2.2084504623 2.0
11 1.70433333333 1.78557899107 1.97733333333 1.91562945849 1.68933333333 1.69996980365 2.0
12 2.23766666667 1.89537539524 2.311 2.38412366849 2.28533333333 2.09771738378 2.0
13 2.01483333333 1.85276954104 2.04233333333 2.05816047857 2.0055 2.1810612287 2.0
14 2.31333333333 2.1501989572 2.15233333333 2.36697535546 2.01433333333 2.00260804952 2.0
15 1.9565 2.13584343865 1.6875 1.6830203917 1.97833333333 1.95142754015 2.0
16 1.83933333333 1.5517186171 2.3605 2.34765090037 1.883 1.92635375198 2.0
17 2.07366666667 1.95517004091 1.76116666667 1.58186081527 2.07 1.92343009578 2.0
18 1.91083333333 1.97960486377 1.84883333333 2.06636053512 1.83933333333 1.75581022766 2.0
19 1.79433333333 1.5385025548 2.04466666667 1.78335962597 2.22633333333 2.53940848318 2.0
20 2.12383333333 2.41423930394 1.97216666667 1.74222408145 1.7745 1.65194574669 2.0
21 2.01383333333 1.99512190521 1.7545 1.95006816832 1.93033333333 1.87151658644 2.0
22 1.90416666667 1.85805210877 1.85533333333 1.80135732775 1.771 1.68184524985 2.0
23 2.0305 2.11611942401 1.992 1.8866070073 1.92683333333 1.93520009732 2.0
24 2.0315 2.28022525081 2.34266666667 2.45859752253 2.104 1.9832718758 2.0
25 2.38716666667 2.00004563142 1.99216666667 1.81215411259 2.01983333333 1.94005110901 2.0
26 2.21266666667 2.32673366666 2.37183333333 1.96636960327 2.02666666667 2.41100140559 2.0
27 2.10133333333 2.03391887744 1.5415 1.53768674566 2.26783333333 2.12716067277 2.0
28 2.39733333333 2.48914612758 2.145 2.20783013135 2.25883333333 2.30898541331 2.0
29 2.188 2.47010917438 2.12533333333 2.24202472977 1.90283333333 2.06088580604 2.0
